[05:45:46] ==== 송파구 매물 수집 시작 ====
[05:45:46] 
📍 11710101 수집 시작
[05:45:47] 11710101 전체 매물: 678
[05:45:47] 11710101 offset=0 → 20개 (누적 20)
[05:45:49] 11710101 offset=20 → 20개 (누적 40)
[05:45:50] 11710101 offset=40 → 20개 (누적 60)
[05:45:52] 11710101 offset=60 → 20개 (누적 80)
[05:45:54] 11710101 offset=80 → 20개 (누적 100)
[05:45:56] 11710101 offset=100 → 20개 (누적 120)
[05:45:57] 11710101 offset=120 → 20개 (누적 140)
[05:45:59] 11710101 offset=140 → 20개 (누적 160)
[05:46:00] 11710101 offset=160 → 20개 (누적 180)
[05:46:02] 11710101 offset=180 → 20개 (누적 200)
[05:46:03] 11710101 offset=200 → 20개 (누적 220)
[05:46:05] 11710101 offset=220 → 20개 (누적 240)
[05:46:07] 11710101 offset=240 → 20개 (누적 260)
[05:46:08] 11710101 offset=260 → 20개 (누적 280)
[05:46:10] 11710101 offset=280 → 20개 (누적 300)
[05:46:12] 11710101 offset=300 → 20개 (누적 320)
[05:46:13] 11710101 offset=320 → 20개 (누적 340)
[05:46:15] 11710101 offset=340 → 20개 (누적 360)
[05:46:16] 11710101 offset=360 → 20개 (누적 380)
[05:46:18] 11710101 offset=380 → 20개 (누적 400)
[05:46:19] 11710101 offset=400 → 20개 (누적 420)
[05:46:21] 11710101 offset=420 → 20개 (누적 440)
[05:46:22] 11710101 offset=440 → 20개 (누적 460)
[05:46:24] 11710101 offset=460 → 20개 (누적 480)
[05:46:25] 11710101 offset=480 → 20개 (누적 500)
[05:46:27] 11710101 offset=500 → 20개 (누적 520)
[05:46:28] 11710101 offset=520 → 20개 (누적 540)
[05:46:30] 11710101 offset=540 → 20개 (누적 560)
[05:46:31] 11710101 offset=560 → 20개 (누적 580)
[05:46:33] 11710101 offset=580 → 20개 (누적 600)
[05:46:34] 11710101 offset=600 → 20개 (누적 620)
[05:46:36] 11710101 offset=620 → 20개 (누적 640)
[05:46:38] 11710101 offset=640 → 20개 (누적 660)
[05:46:39] 11710101 offset=660 → 18개 (누적 678)
[05:46:39] 
📍 11710102 수집 시작
[05:46:40] 11710102 전체 매물: 733
[05:46:40] 11710102 offset=0 → 20개 (누적 20)
[05:46:41] 11710102 offset=20 → 20개 (누적 40)
[05:46:43] 11710102 offset=40 → 20개 (누적 60)
[05:46:44] 11710102 offset=60 → 20개 (누적 80)
[05:46:46] 11710102 offset=80 → 20개 (누적 100)
[05:46:47] 11710102 offset=100 → 20개 (누적 120)
[05:46:49] 11710102 offset=120 → 20개 (누적 140)
[05:46:50] 11710102 offset=140 → 20개 (누적 160)
[05:46:52] 11710102 offset=160 → 20개 (누적 180)
[05:46:54] 11710102 offset=180 → 20개 (누적 200)
[05:46:56] 11710102 offset=200 → 20개 (누적 220)
[05:46:57] 11710102 offset=220 → 20개 (누적 240)
[05:46:58] 11710102 offset=240 → 20개 (누적 260)
[05:47:00] 11710102 offset=260 → 20개 (누적 280)
[05:47:01] 11710102 offset=280 → 20개 (누적 300)
[05:47:03] 11710102 offset=300 → 20개 (누적 320)
[05:47:04] 11710102 offset=320 → 20개 (누적 340)
[05:47:06] 11710102 offset=340 → 20개 (누적 360)
[05:47:08] 11710102 offset=360 → 20개 (누적 380)
[05:47:09] 11710102 offset=380 → 20개 (누적 400)
[05:47:11] 11710102 offset=400 → 20개 (누적 420)
[05:47:13] 11710102 offset=420 → 20개 (누적 440)
[05:47:15] 11710102 offset=440 → 20개 (누적 460)
[05:47:16] 11710102 offset=460 → 20개 (누적 480)
[05:47:17] 11710102 offset=480 → 20개 (누적 500)
[05:47:19] 11710102 offset=500 → 20개 (누적 520)
[05:47:20] 11710102 offset=520 → 20개 (누적 540)
[05:47:22] 11710102 offset=540 → 20개 (누적 560)
[05:47:23] 11710102 offset=560 → 20개 (누적 580)
[05:47:25] 11710102 offset=580 → 20개 (누적 600)
[05:47:26] 11710102 offset=600 → 20개 (누적 620)
[05:47:28] 11710102 offset=620 → 20개 (누적 640)
[05:47:30] 11710102 offset=640 → 20개 (누적 660)
[05:47:31] 11710102 offset=660 → 20개 (누적 680)
[05:47:33] 11710102 offset=680 → 20개 (누적 700)
[05:47:35] 11710102 offset=700 → 20개 (누적 720)
[05:47:36] 11710102 offset=720 → 13개 (누적 733)
[05:47:36] 
📍 11710103 수집 시작
[05:47:37] 11710103 전체 매물: 681
[05:47:37] 11710103 offset=0 → 20개 (누적 20)
[05:47:38] 11710103 offset=20 → 20개 (누적 40)
[05:47:40] 11710103 offset=40 → 20개 (누적 60)
[05:47:41] 11710103 offset=60 → 20개 (누적 80)
[05:47:42] 11710103 offset=80 → 20개 (누적 100)
[05:47:44] 11710103 offset=100 → 20개 (누적 120)
[05:47:46] 11710103 offset=120 → 20개 (누적 140)
[05:47:47] 11710103 offset=140 → 20개 (누적 160)
[05:47:49] 11710103 offset=160 → 20개 (누적 180)
[05:47:50] 11710103 offset=180 → 20개 (누적 200)
[05:47:52] 11710103 offset=200 → 20개 (누적 220)
[05:47:54] 11710103 offset=220 → 20개 (누적 240)
[05:47:55] 11710103 offset=240 → 20개 (누적 260)
[05:47:57] 11710103 offset=260 → 20개 (누적 280)
