[05:39:12] ==== 송파구 매물 수집 시작 ====
[05:39:12] 
📍 11710101 수집 시작
[05:39:13] 11710101 전체 매물: 685
[05:39:13] 11710101 offset=0 → 20개 (누적 20)
[05:39:14] 11710101 offset=20 → 20개 (누적 40)
[05:39:16] 11710101 offset=40 → 20개 (누적 60)
[05:39:17] 11710101 offset=60 → 20개 (누적 80)
[05:39:18] 11710101 offset=80 → 20개 (누적 100)
[05:39:20] 11710101 offset=100 → 20개 (누적 120)
[05:39:22] 11710101 offset=120 → 20개 (누적 140)
[05:39:23] 11710101 offset=140 → 20개 (누적 160)
[05:39:25] 11710101 offset=160 → 20개 (누적 180)
[05:39:26] 11710101 offset=180 → 20개 (누적 200)
[05:39:28] 11710101 offset=200 → 20개 (누적 220)
[05:39:29] 11710101 offset=220 → 20개 (누적 240)
[05:39:31] 11710101 offset=240 → 20개 (누적 260)
[05:39:32] 11710101 offset=260 → 20개 (누적 280)
[05:39:34] 11710101 offset=280 → 20개 (누적 300)
[05:39:36] 11710101 offset=300 → 20개 (누적 320)
[05:39:37] 11710101 offset=320 → 20개 (누적 340)
[05:39:38] 11710101 offset=340 → 20개 (누적 360)
[05:39:40] 11710101 offset=360 → 20개 (누적 380)
[05:39:42] 11710101 offset=380 → 20개 (누적 400)
[05:39:43] 11710101 offset=400 → 20개 (누적 420)
[05:39:44] 11710101 offset=420 → 20개 (누적 440)
[05:39:46] 11710101 offset=440 → 20개 (누적 460)
[05:39:47] 11710101 offset=460 → 20개 (누적 480)
[05:39:48] 11710101 offset=480 → 20개 (누적 500)
[05:39:50] 11710101 offset=500 → 20개 (누적 520)
[05:39:52] 11710101 offset=520 → 20개 (누적 540)
[05:39:53] 11710101 offset=540 → 20개 (누적 560)
[05:39:55] 11710101 offset=560 → 20개 (누적 580)
[05:39:56] 11710101 offset=580 → 20개 (누적 600)
[05:39:58] 11710101 offset=600 → 20개 (누적 620)
[05:39:59] 11710101 offset=620 → 20개 (누적 640)
[05:40:01] 11710101 offset=640 → 20개 (누적 660)
[05:40:02] 11710101 offset=660 → 20개 (누적 680)
[05:40:04] 11710101 offset=680 → 5개 (누적 685)
[05:40:04] 
📍 11710102 수집 시작
[05:40:04] 11710102 전체 매물: 738
[05:40:04] 11710102 offset=0 → 20개 (누적 20)
[05:40:06] 11710102 offset=20 → 20개 (누적 40)
[05:40:07] 11710102 offset=40 → 20개 (누적 60)
[05:40:09] 11710102 offset=60 → 20개 (누적 80)
[05:40:10] 11710102 offset=80 → 20개 (누적 100)
[05:40:12] 11710102 offset=100 → 20개 (누적 120)
[05:40:13] 11710102 offset=120 → 20개 (누적 140)
[05:40:15] 11710102 offset=140 → 20개 (누적 160)
[05:40:17] 11710102 offset=160 → 20개 (누적 180)
[05:40:18] 11710102 offset=180 → 20개 (누적 200)
[05:40:20] 11710102 offset=200 → 20개 (누적 220)
[05:40:21] 11710102 offset=220 → 20개 (누적 240)
[05:40:23] 11710102 offset=240 → 20개 (누적 260)
[05:40:25] 11710102 offset=260 → 20개 (누적 280)
[05:40:26] 11710102 offset=280 → 20개 (누적 300)
[05:40:27] 11710102 offset=300 → 20개 (누적 320)
[05:40:29] 11710102 offset=320 → 20개 (누적 340)
[05:40:31] 11710102 offset=340 → 20개 (누적 360)
[05:40:32] 11710102 offset=360 → 20개 (누적 380)
[05:40:34] 11710102 offset=380 → 20개 (누적 400)
[05:40:35] 11710102 offset=400 → 20개 (누적 420)
[05:40:37] 11710102 offset=420 → 20개 (누적 440)
[05:40:38] 11710102 offset=440 → 20개 (누적 460)
[05:40:40] 11710102 offset=460 → 20개 (누적 480)
[05:40:42] 11710102 offset=480 → 20개 (누적 500)
[05:40:43] 11710102 offset=500 → 20개 (누적 520)
[05:40:45] 11710102 offset=520 → 20개 (누적 540)
[05:40:46] 11710102 offset=540 → 20개 (누적 560)
[05:40:48] 11710102 offset=560 → 20개 (누적 580)
[05:40:49] 11710102 offset=580 → 20개 (누적 600)
[05:40:51] 11710102 offset=600 → 20개 (누적 620)
[05:40:52] 11710102 offset=620 → 20개 (누적 640)
[05:40:54] 11710102 offset=640 → 20개 (누적 660)
[05:40:56] 11710102 offset=660 → 20개 (누적 680)
[05:40:57] 11710102 offset=680 → 20개 (누적 700)
