[05:50:06] ==== 송파구 매물 수집 시작 ====
[05:50:06] 
📍 11710101 수집 시작
[05:50:07] 11710101 전체 매물: 681
[05:50:07] 11710101 offset=0 → 20개 (누적 20)
[05:50:08] 11710101 offset=20 → 20개 (누적 40)
[05:50:10] 11710101 offset=40 → 20개 (누적 60)
[05:50:11] 11710101 offset=60 → 20개 (누적 80)
[05:50:13] 11710101 offset=80 → 20개 (누적 100)
[05:50:15] 11710101 offset=100 → 20개 (누적 120)
[05:50:16] 11710101 offset=120 → 20개 (누적 140)
[05:50:17] 11710101 offset=140 → 20개 (누적 160)
[05:50:19] 11710101 offset=160 → 20개 (누적 180)
[05:50:20] 11710101 offset=180 → 20개 (누적 200)
[05:50:22] 11710101 offset=200 → 20개 (누적 220)
[05:50:24] 11710101 offset=220 → 20개 (누적 240)
[05:50:26] 11710101 offset=240 → 20개 (누적 260)
[05:50:27] 11710101 offset=260 → 20개 (누적 280)
[05:50:28] 11710101 offset=280 → 20개 (누적 300)
[05:50:30] 11710101 offset=300 → 20개 (누적 320)
[05:50:32] 11710101 offset=320 → 20개 (누적 340)
[05:50:33] 11710101 offset=340 → 20개 (누적 360)
[05:50:34] 11710101 offset=360 → 20개 (누적 380)
[05:50:36] 11710101 offset=380 → 20개 (누적 400)
[05:50:38] 11710101 offset=400 → 20개 (누적 420)
[05:50:39] 11710101 offset=420 → 20개 (누적 440)
[05:50:41] 11710101 offset=440 → 20개 (누적 460)
[05:50:42] 11710101 offset=460 → 20개 (누적 480)
[05:50:44] 11710101 offset=480 → 20개 (누적 500)
[05:50:45] 11710101 offset=500 → 20개 (누적 520)
[05:50:47] 11710101 offset=520 → 20개 (누적 540)
[05:50:48] 11710101 offset=540 → 20개 (누적 560)
[05:50:50] 11710101 offset=560 → 20개 (누적 580)
[05:50:51] 11710101 offset=580 → 20개 (누적 600)
[05:50:53] 11710101 offset=600 → 20개 (누적 620)
[05:50:54] 11710101 offset=620 → 20개 (누적 640)
[05:50:56] 11710101 offset=640 → 20개 (누적 660)
[05:50:57] 11710101 offset=660 → 20개 (누적 680)
[05:50:59] 11710101 offset=680 → 1개 (누적 681)
[05:50:59] 
📍 11710102 수집 시작
[05:50:59] 11710102 전체 매물: 741
[05:50:59] 11710102 offset=0 → 20개 (누적 20)
[05:51:00] 11710102 offset=20 → 20개 (누적 40)
[05:51:02] 11710102 offset=40 → 20개 (누적 60)
[05:51:03] 11710102 offset=60 → 20개 (누적 80)
[05:51:05] 11710102 offset=80 → 20개 (누적 100)
[05:51:07] 11710102 offset=100 → 20개 (누적 120)
[05:51:08] 11710102 offset=120 → 20개 (누적 140)
[05:51:10] 11710102 offset=140 → 20개 (누적 160)
[05:51:11] 11710102 offset=160 → 20개 (누적 180)
[05:51:13] 11710102 offset=180 → 20개 (누적 200)
[05:51:15] 11710102 offset=200 → 20개 (누적 220)
[05:51:16] 11710102 offset=220 → 20개 (누적 240)
[05:51:17] 11710102 offset=240 → 20개 (누적 260)
[05:51:19] 11710102 offset=260 → 20개 (누적 280)
[05:51:20] 11710102 offset=280 → 20개 (누적 300)
[05:51:22] 11710102 offset=300 → 20개 (누적 320)
[05:51:23] 11710102 offset=320 → 20개 (누적 340)
[05:51:24] 11710102 offset=340 → 20개 (누적 360)
[05:51:26] 11710102 offset=360 → 20개 (누적 380)
[05:51:27] 11710102 offset=380 → 20개 (누적 400)
[05:51:29] 11710102 offset=400 → 20개 (누적 420)
[05:51:31] 11710102 offset=420 → 20개 (누적 440)
[05:51:32] 11710102 offset=440 → 20개 (누적 460)
[05:51:34] 11710102 offset=460 → 20개 (누적 480)
[05:51:35] 11710102 offset=480 → 20개 (누적 500)
[05:51:37] 11710102 offset=500 → 20개 (누적 520)
[05:51:38] 11710102 offset=520 → 20개 (누적 540)
[05:51:39] 11710102 offset=540 → 20개 (누적 560)
[05:51:41] 11710102 offset=560 → 20개 (누적 580)
[05:51:43] 11710102 offset=580 → 20개 (누적 600)
[05:51:44] 11710102 offset=600 → 20개 (누적 620)
[05:51:46] 11710102 offset=620 → 20개 (누적 640)
[05:51:47] 11710102 offset=640 → 20개 (누적 660)
[05:51:49] 11710102 offset=660 → 20개 (누적 680)
[05:51:50] 11710102 offset=680 → 20개 (누적 700)
[05:51:52] 11710102 offset=700 → 20개 (누적 720)
[05:51:54] 11710102 offset=720 → 20개 (누적 740)
[05:51:55] 11710102 offset=740 → 1개 (누적 741)
[05:51:55] 
📍 11710103 수집 시작
[05:51:55] 11710103 전체 매물: 690
[05:51:55] 11710103 offset=0 → 20개 (누적 20)
[05:51:57] 11710103 offset=20 → 20개 (누적 40)
[05:51:58] 11710103 offset=40 → 20개 (누적 60)
[05:52:00] 11710103 offset=60 → 20개 (누적 80)
[05:52:01] 11710103 offset=80 → 20개 (누적 100)
[05:52:03] 11710103 offset=100 → 20개 (누적 120)
[05:52:04] 11710103 offset=120 → 20개 (누적 140)
[05:52:06] 11710103 offset=140 → 20개 (누적 160)
[05:52:07] 11710103 offset=160 → 20개 (누적 180)
[05:52:09] 11710103 offset=180 → 20개 (누적 200)
[05:52:11] 11710103 offset=200 → 20개 (누적 220)
[05:52:12] 11710103 offset=220 → 20개 (누적 240)
[05:52:13] 11710103 offset=240 → 20개 (누적 260)
[05:52:15] 11710103 offset=260 → 20개 (누적 280)
[05:52:17] 11710103 offset=280 → 20개 (누적 300)
[05:52:18] 11710103 offset=300 → 20개 (누적 320)
[05:52:20] 11710103 offset=320 → 20개 (누적 340)
[05:52:21] 11710103 offset=340 → 20개 (누적 360)
[05:52:23] 11710103 offset=360 → 20개 (누적 380)
[05:52:25] 11710103 offset=380 → 20개 (누적 400)
[05:52:27] 11710103 offset=400 → 20개 (누적 420)
[05:52:28] 11710103 offset=420 → 20개 (누적 440)
[05:52:30] 11710103 offset=440 → 20개 (누적 460)
[05:52:31] 11710103 offset=460 → 20개 (누적 480)
[05:52:33] 11710103 offset=480 → 20개 (누적 500)
[05:52:34] 11710103 offset=500 → 20개 (누적 520)
[05:52:36] 11710103 offset=520 → 20개 (누적 540)
[05:52:38] 11710103 offset=540 → 20개 (누적 560)
[05:52:39] 11710103 offset=560 → 20개 (누적 580)
[05:52:40] 11710103 offset=580 → 20개 (누적 600)
[05:52:42] 11710103 offset=600 → 20개 (누적 620)
[05:52:43] 11710103 offset=620 → 20개 (누적 640)
[05:52:45] 11710103 offset=640 → 20개 (누적 660)
[05:52:46] 11710103 offset=660 → 20개 (누적 680)
[05:52:48] 11710103 offset=680 → 10개 (누적 690)
[05:52:48] 
📍 11710104 수집 시작
[05:52:48] 11710104 전체 매물: 913
[05:52:48] 11710104 offset=0 → 20개 (누적 20)
[05:52:49] 11710104 offset=20 → 20개 (누적 40)
[05:52:51] 11710104 offset=40 → 20개 (누적 60)
[05:52:53] 11710104 offset=60 → 20개 (누적 80)
[05:52:54] 11710104 offset=80 → 20개 (누적 100)
[05:52:55] 11710104 offset=100 → 20개 (누적 120)
[05:52:57] 11710104 offset=120 → 20개 (누적 140)
[05:52:58] 11710104 offset=140 → 20개 (누적 160)
[05:53:00] 11710104 offset=160 → 20개 (누적 180)
[05:53:01] 11710104 offset=180 → 20개 (누적 200)
[05:53:03] 11710104 offset=200 → 20개 (누적 220)
[05:53:04] 11710104 offset=220 → 20개 (누적 240)
[05:53:06] 11710104 offset=240 → 20개 (누적 260)
[05:53:08] 11710104 offset=260 → 20개 (누적 280)
[05:53:10] 11710104 offset=280 → 20개 (누적 300)
[05:53:11] 11710104 offset=300 → 20개 (누적 320)
[05:53:13] 11710104 offset=320 → 20개 (누적 340)
[05:53:14] 11710104 offset=340 → 20개 (누적 360)
[05:53:16] 11710104 offset=360 → 20개 (누적 380)
[05:53:17] 11710104 offset=380 → 20개 (누적 400)
[05:53:19] 11710104 offset=400 → 20개 (누적 420)
[05:53:21] 11710104 offset=420 → 20개 (누적 440)
[05:53:22] 11710104 offset=440 → 20개 (누적 460)
[05:53:24] 11710104 offset=460 → 20개 (누적 480)
[05:53:25] 11710104 offset=480 → 20개 (누적 500)
[05:53:27] 11710104 offset=500 → 20개 (누적 520)
[05:53:29] 11710104 offset=520 → 20개 (누적 540)
[05:53:30] 11710104 offset=540 → 20개 (누적 560)
[05:53:32] 11710104 offset=560 → 20개 (누적 580)
[05:53:33] 11710104 offset=580 → 20개 (누적 600)
[05:53:35] 11710104 offset=600 → 20개 (누적 620)
[05:53:37] 11710104 offset=620 → 20개 (누적 640)
[05:53:38] 11710104 offset=640 → 20개 (누적 660)
[05:53:40] 11710104 offset=660 → 20개 (누적 680)
[05:53:41] 11710104 offset=680 → 20개 (누적 700)
[05:53:43] 11710104 offset=700 → 20개 (누적 720)
[05:53:45] 11710104 offset=720 → 20개 (누적 740)
[05:53:46] 11710104 offset=740 → 20개 (누적 760)
[05:53:48] 11710104 offset=760 → 20개 (누적 780)
[05:53:50] 11710104 offset=780 → 20개 (누적 800)
[05:53:51] 11710104 offset=800 → 20개 (누적 820)
[05:53:53] 11710104 offset=820 → 20개 (누적 840)
[05:53:55] 11710104 offset=840 → 20개 (누적 860)
[05:53:57] 11710104 offset=860 → 20개 (누적 880)
[05:53:58] 11710104 offset=880 → 20개 (누적 900)
[05:53:59] 11710104 offset=900 → 13개 (누적 913)
[05:53:59] 
📍 11710105 수집 시작
[05:54:00] 11710105 전체 매물: 778
[05:54:00] 11710105 offset=0 → 20개 (누적 20)
[05:54:01] 11710105 offset=20 → 20개 (누적 40)
[05:54:03] 11710105 offset=40 → 20개 (누적 60)
[05:54:05] 11710105 offset=60 → 20개 (누적 80)
[05:54:06] 11710105 offset=80 → 20개 (누적 100)
[05:54:08] 11710105 offset=100 → 20개 (누적 120)
[05:54:10] 11710105 offset=120 → 20개 (누적 140)
[05:54:12] 11710105 offset=140 → 20개 (누적 160)
[05:54:13] 11710105 offset=160 → 20개 (누적 180)
[05:54:15] 11710105 offset=180 → 20개 (누적 200)
[05:54:16] 11710105 offset=200 → 20개 (누적 220)
[05:54:18] 11710105 offset=220 → 20개 (누적 240)
[05:54:19] 11710105 offset=240 → 20개 (누적 260)
[05:54:21] 11710105 offset=260 → 20개 (누적 280)
[05:54:23] 11710105 offset=280 → 20개 (누적 300)
[05:54:24] 11710105 offset=300 → 20개 (누적 320)
[05:54:26] 11710105 offset=320 → 20개 (누적 340)
[05:54:27] 11710105 offset=340 → 20개 (누적 360)
[05:54:29] 11710105 offset=360 → 20개 (누적 380)
[05:54:30] 11710105 offset=380 → 20개 (누적 400)
[05:54:32] 11710105 offset=400 → 20개 (누적 420)
[05:54:33] 11710105 offset=420 → 20개 (누적 440)
[05:54:35] 11710105 offset=440 → 20개 (누적 460)
[05:54:36] 11710105 offset=460 → 20개 (누적 480)
[05:54:37] 11710105 offset=480 → 20개 (누적 500)
[05:54:39] 11710105 offset=500 → 20개 (누적 520)
[05:54:40] 11710105 offset=520 → 20개 (누적 540)
[05:54:42] 11710105 offset=540 → 20개 (누적 560)
[05:54:44] 11710105 offset=560 → 20개 (누적 580)
[05:54:45] 11710105 offset=580 → 20개 (누적 600)
[05:54:47] 11710105 offset=600 → 20개 (누적 620)
[05:54:48] 11710105 offset=620 → 20개 (누적 640)
[05:54:50] 11710105 offset=640 → 20개 (누적 660)
[05:54:51] 11710105 offset=660 → 20개 (누적 680)
[05:54:53] 11710105 offset=680 → 20개 (누적 700)
[05:54:55] 11710105 offset=700 → 20개 (누적 720)
[05:54:56] 11710105 offset=720 → 20개 (누적 740)
[05:54:58] 11710105 offset=740 → 20개 (누적 760)
[05:54:59] 11710105 offset=760 → 18개 (누적 778)
[05:54:59] 
📍 11710106 수집 시작
[05:54:59] 11710106 전체 매물: 137
[05:54:59] 11710106 offset=0 → 20개 (누적 20)
[05:55:01] 11710106 offset=20 → 20개 (누적 40)
[05:55:02] 11710106 offset=40 → 20개 (누적 60)
[05:55:04] 11710106 offset=60 → 20개 (누적 80)
[05:55:05] 11710106 offset=80 → 20개 (누적 100)
[05:55:07] 11710106 offset=100 → 20개 (누적 120)
[05:55:08] 11710106 offset=120 → 17개 (누적 137)
[05:55:08] 
📍 11710107 수집 시작
[05:55:09] 11710107 전체 매물: 344
[05:55:09] 11710107 offset=0 → 20개 (누적 20)
[05:55:11] 11710107 offset=20 → 20개 (누적 40)
[05:55:12] 11710107 offset=40 → 20개 (누적 60)
[05:55:13] 11710107 offset=60 → 20개 (누적 80)
[05:55:15] 11710107 offset=80 → 20개 (누적 100)
[05:55:16] 11710107 offset=100 → 20개 (누적 120)
[05:55:18] 11710107 offset=120 → 20개 (누적 140)
[05:55:19] 11710107 offset=140 → 20개 (누적 160)
[05:55:21] 11710107 offset=160 → 20개 (누적 180)
[05:55:23] 11710107 offset=180 → 20개 (누적 200)
[05:55:24] 11710107 offset=200 → 20개 (누적 220)
[05:55:26] 11710107 offset=220 → 20개 (누적 240)
[05:55:27] 11710107 offset=240 → 20개 (누적 260)
[05:55:29] 11710107 offset=260 → 20개 (누적 280)
[05:55:31] 11710107 offset=280 → 20개 (누적 300)
[05:55:33] 11710107 offset=300 → 20개 (누적 320)
[05:55:34] 11710107 offset=320 → 20개 (누적 340)
[05:55:35] 11710107 offset=340 → 4개 (누적 344)
[05:55:35] 
📍 11710108 수집 시작
[05:55:36] 11710108 전체 매물: 235
[05:55:36] 11710108 offset=0 → 20개 (누적 20)
[05:55:37] 11710108 offset=20 → 20개 (누적 40)
[05:55:39] 11710108 offset=40 → 20개 (누적 60)
[05:55:40] 11710108 offset=60 → 20개 (누적 80)
[05:55:42] 11710108 offset=80 → 20개 (누적 100)
[05:55:43] 11710108 offset=100 → 20개 (누적 120)
[05:55:45] 11710108 offset=120 → 20개 (누적 140)
[05:55:46] 11710108 offset=140 → 20개 (누적 160)
[05:55:48] 11710108 offset=160 → 20개 (누적 180)
[05:55:49] 11710108 offset=180 → 20개 (누적 200)
[05:55:51] 11710108 offset=200 → 20개 (누적 220)
[05:55:52] 11710108 offset=220 → 15개 (누적 235)
[05:55:52] 
📍 11710109 수집 시작
[05:55:53] 11710109 전체 매물: 138
[05:55:53] 11710109 offset=0 → 20개 (누적 20)
[05:55:54] 11710109 offset=20 → 20개 (누적 40)
[05:55:56] 11710109 offset=40 → 20개 (누적 60)
[05:55:57] 11710109 offset=60 → 20개 (누적 80)
[05:55:59] 11710109 offset=80 → 20개 (누적 100)
[05:56:01] 11710109 offset=100 → 20개 (누적 120)
[05:56:02] 11710109 offset=120 → 18개 (누적 138)
[05:56:02] 
📍 11710110 수집 시작
[05:56:03] 11710110 전체 매물: 0
[05:56:03] 
📍 11710111 수집 시작
[05:56:03] 11710111 전체 매물: 887
[05:56:03] 11710111 offset=0 → 20개 (누적 20)
[05:56:04] 11710111 offset=20 → 20개 (누적 40)
[05:56:06] 11710111 offset=40 → 20개 (누적 60)
[05:56:07] 11710111 offset=60 → 20개 (누적 80)
[05:56:09] 11710111 offset=80 → 20개 (누적 100)
[05:56:10] 11710111 offset=100 → 20개 (누적 120)
[05:56:12] 11710111 offset=120 → 20개 (누적 140)
[05:56:13] 11710111 offset=140 → 20개 (누적 160)
[05:56:15] 11710111 offset=160 → 20개 (누적 180)
[05:56:17] 11710111 offset=180 → 20개 (누적 200)
[05:56:18] 11710111 offset=200 → 20개 (누적 220)
[05:56:20] 11710111 offset=220 → 20개 (누적 240)
[05:56:21] 11710111 offset=240 → 20개 (누적 260)
[05:56:23] 11710111 offset=260 → 20개 (누적 280)
[05:56:25] 11710111 offset=280 → 20개 (누적 300)
[05:56:26] 11710111 offset=300 → 20개 (누적 320)
[05:56:28] 11710111 offset=320 → 20개 (누적 340)
[05:56:29] 11710111 offset=340 → 20개 (누적 360)
[05:56:31] 11710111 offset=360 → 20개 (누적 380)
[05:56:32] 11710111 offset=380 → 20개 (누적 400)
[05:56:34] 11710111 offset=400 → 20개 (누적 420)
[05:56:35] 11710111 offset=420 → 20개 (누적 440)
[05:56:37] 11710111 offset=440 → 20개 (누적 460)
[05:56:39] 11710111 offset=460 → 20개 (누적 480)
[05:56:41] 11710111 offset=480 → 20개 (누적 500)
[05:56:42] 11710111 offset=500 → 20개 (누적 520)
[05:56:44] 11710111 offset=520 → 20개 (누적 540)
[05:56:45] 11710111 offset=540 → 20개 (누적 560)
[05:56:47] 11710111 offset=560 → 20개 (누적 580)
[05:56:48] 11710111 offset=580 → 20개 (누적 600)
[05:56:50] 11710111 offset=600 → 20개 (누적 620)
[05:56:51] 11710111 offset=620 → 20개 (누적 640)
[05:56:53] 11710111 offset=640 → 20개 (누적 660)
[05:56:55] 11710111 offset=660 → 20개 (누적 680)
[05:56:56] 11710111 offset=680 → 20개 (누적 700)
[05:56:58] 11710111 offset=700 → 20개 (누적 720)
[05:56:59] 11710111 offset=720 → 20개 (누적 740)
[05:57:01] 11710111 offset=740 → 20개 (누적 760)
[05:57:02] 11710111 offset=760 → 20개 (누적 780)
[05:57:04] 11710111 offset=780 → 20개 (누적 800)
[05:57:06] 11710111 offset=800 → 20개 (누적 820)
[05:57:07] 11710111 offset=820 → 20개 (누적 840)
[05:57:09] 11710111 offset=840 → 20개 (누적 860)
[05:57:11] 11710111 offset=860 → 20개 (누적 880)
[05:57:12] 11710111 offset=880 → 6개 (누적 886)
[05:57:12] 
📍 11710112 수집 시작
[05:57:13] 11710112 전체 매물: 283
[05:57:13] 11710112 offset=0 → 20개 (누적 20)
[05:57:14] 11710112 offset=20 → 20개 (누적 40)
[05:57:16] 11710112 offset=40 → 20개 (누적 60)
[05:57:18] 11710112 offset=60 → 20개 (누적 80)
[05:57:19] 11710112 offset=80 → 20개 (누적 100)
[05:57:21] 11710112 offset=100 → 20개 (누적 120)
[05:57:23] 11710112 offset=120 → 20개 (누적 140)
[05:57:24] 11710112 offset=140 → 20개 (누적 160)
[05:57:26] 11710112 offset=160 → 20개 (누적 180)
[05:57:27] 11710112 offset=180 → 20개 (누적 200)
[05:57:29] 11710112 offset=200 → 20개 (누적 220)
[05:57:30] 11710112 offset=220 → 20개 (누적 240)
[05:57:32] 11710112 offset=240 → 20개 (누적 260)
[05:57:33] 11710112 offset=260 → 20개 (누적 280)
[05:57:35] 11710112 offset=280 → 3개 (누적 283)
[05:57:35] 
📍 11710113 수집 시작
[05:57:35] 11710113 전체 매물: 332
[05:57:35] 11710113 offset=0 → 20개 (누적 20)
[05:57:37] 11710113 offset=20 → 20개 (누적 40)
[05:57:38] 11710113 offset=40 → 20개 (누적 60)
[05:57:40] 11710113 offset=60 → 20개 (누적 80)
