[06:16:44] ==== 송파구 매물 수집 시작 ====
[06:16:44] 
📍 11710101 수집 시작
[06:16:45] 11710101 전체 매물: 645
[06:16:45] 11710101 offset=0 → 20개 (누적 20)
[06:16:47] 11710101 offset=20 → 20개 (누적 40)
[06:16:48] 11710101 offset=40 → 20개 (누적 60)
[06:16:50] 11710101 offset=60 → 20개 (누적 80)
[06:16:51] 11710101 offset=80 → 20개 (누적 100)
[06:16:53] 11710101 offset=100 → 20개 (누적 120)
[06:16:54] 11710101 offset=120 → 20개 (누적 140)
[06:16:56] 11710101 offset=140 → 20개 (누적 160)
[06:16:57] 11710101 offset=160 → 20개 (누적 180)
[06:16:59] 11710101 offset=180 → 20개 (누적 200)
[06:17:01] 11710101 offset=200 → 20개 (누적 220)
[06:17:02] 11710101 offset=220 → 20개 (누적 240)
[06:17:03] 11710101 offset=240 → 20개 (누적 260)
[06:17:05] 11710101 offset=260 → 20개 (누적 280)
[06:17:06] 11710101 offset=280 → 20개 (누적 300)
[06:17:08] 11710101 offset=300 → 20개 (누적 320)
[06:17:09] 11710101 offset=320 → 20개 (누적 340)
[06:17:11] 11710101 offset=340 → 20개 (누적 360)
[06:17:13] 11710101 offset=360 → 20개 (누적 380)
[06:17:14] 11710101 offset=380 → 20개 (누적 400)
[06:17:16] 11710101 offset=400 → 20개 (누적 420)
[06:17:17] 11710101 offset=420 → 20개 (누적 440)
[06:17:19] 11710101 offset=440 → 20개 (누적 460)
[06:17:20] 11710101 offset=460 → 20개 (누적 480)
[06:17:22] 11710101 offset=480 → 20개 (누적 500)
[06:17:24] 11710101 offset=500 → 20개 (누적 520)
[06:17:25] 11710101 offset=520 → 20개 (누적 540)
[06:17:27] 11710101 offset=540 → 20개 (누적 560)
[06:17:28] 11710101 offset=560 → 20개 (누적 580)
[06:17:30] 11710101 offset=580 → 20개 (누적 600)
[06:17:31] 11710101 offset=600 → 20개 (누적 620)
[06:17:33] 11710101 offset=620 → 20개 (누적 640)
[06:17:34] 11710101 offset=640 → 5개 (누적 645)
[06:17:34] 
📍 11710102 수집 시작
[06:17:35] 11710102 전체 매물: 698
[06:17:35] 11710102 offset=0 → 20개 (누적 20)
[06:17:36] 11710102 offset=20 → 20개 (누적 40)
[06:17:37] 11710102 offset=40 → 20개 (누적 60)
[06:17:39] 11710102 offset=60 → 20개 (누적 80)
[06:17:41] 11710102 offset=80 → 20개 (누적 100)
[06:17:42] 11710102 offset=100 → 20개 (누적 120)
[06:17:44] 11710102 offset=120 → 20개 (누적 140)
[06:17:45] 11710102 offset=140 → 20개 (누적 160)
[06:17:47] 11710102 offset=160 → 20개 (누적 180)
[06:17:48] 11710102 offset=180 → 20개 (누적 200)
[06:17:50] 11710102 offset=200 → 20개 (누적 220)
[06:17:51] 11710102 offset=220 → 20개 (누적 240)
[06:17:53] 11710102 offset=240 → 20개 (누적 260)
[06:17:55] 11710102 offset=260 → 20개 (누적 280)
[06:17:56] 11710102 offset=280 → 20개 (누적 300)
[06:17:58] 11710102 offset=300 → 20개 (누적 320)
[06:18:00] 11710102 offset=320 → 20개 (누적 340)
[06:18:01] 11710102 offset=340 → 20개 (누적 360)
[06:18:03] 11710102 offset=360 → 20개 (누적 380)
