[05:14:05] ==== 송파구 매물 수집 시작 ====
[05:14:05] 
📍 11710101 수집 시작
[05:14:05] 11710101 전체 매물: 686
[05:14:05] 11710101 offset=0 → 20개 (누적 20)
[05:14:07] 11710101 offset=20 → 20개 (누적 40)
[05:14:09] 11710101 offset=40 → 20개 (누적 60)
[05:14:10] 11710101 offset=60 → 20개 (누적 80)
[05:14:12] 11710101 offset=80 → 20개 (누적 100)
[05:14:13] 11710101 offset=100 → 20개 (누적 120)
[05:14:15] 11710101 offset=120 → 20개 (누적 140)
[05:14:17] 11710101 offset=140 → 20개 (누적 160)
[05:14:18] 11710101 offset=160 → 20개 (누적 180)
[05:14:20] 11710101 offset=180 → 20개 (누적 200)
[05:14:21] 11710101 offset=200 → 20개 (누적 220)
[05:14:23] 11710101 offset=220 → 20개 (누적 240)
[05:14:25] 11710101 offset=240 → 20개 (누적 260)
[05:14:26] 11710101 offset=260 → 20개 (누적 280)
[05:14:28] 11710101 offset=280 → 20개 (누적 300)
[05:14:29] 11710101 offset=300 → 20개 (누적 320)
[05:14:31] 11710101 offset=320 → 20개 (누적 340)
[05:14:33] 11710101 offset=340 → 20개 (누적 360)
[05:14:34] 11710101 offset=360 → 20개 (누적 380)
[05:14:36] 11710101 offset=380 → 20개 (누적 400)
[05:14:37] 11710101 offset=400 → 20개 (누적 420)
[05:14:39] 11710101 offset=420 → 20개 (누적 440)
[05:14:41] 11710101 offset=440 → 20개 (누적 460)
[05:14:42] 11710101 offset=460 → 20개 (누적 480)
[05:14:43] 11710101 offset=480 → 20개 (누적 500)
[05:14:45] 11710101 offset=500 → 20개 (누적 520)
[05:14:46] 11710101 offset=520 → 20개 (누적 540)
[05:14:48] 11710101 offset=540 → 20개 (누적 560)
[05:14:50] 11710101 offset=560 → 20개 (누적 580)
[05:14:51] 11710101 offset=580 → 20개 (누적 600)
[05:14:53] 11710101 offset=600 → 20개 (누적 620)
[05:14:55] 11710101 offset=620 → 20개 (누적 640)
[05:14:56] 11710101 offset=640 → 20개 (누적 660)
[05:14:58] 11710101 offset=660 → 20개 (누적 680)
[05:15:00] 11710101 offset=680 → 6개 (누적 686)
[05:15:00] 
📍 11710102 수집 시작
[05:15:00] 11710102 전체 매물: 737
[05:15:00] 11710102 offset=0 → 20개 (누적 20)
[05:15:02] 11710102 offset=20 → 20개 (누적 40)
[05:15:03] 11710102 offset=40 → 20개 (누적 60)
[05:15:05] 11710102 offset=60 → 20개 (누적 80)
[05:15:06] 11710102 offset=80 → 20개 (누적 100)
[05:15:08] 11710102 offset=100 → 20개 (누적 120)
[05:15:09] 11710102 offset=120 → 20개 (누적 140)
[05:15:11] 11710102 offset=140 → 20개 (누적 160)
[05:15:12] 11710102 offset=160 → 20개 (누적 180)
[05:15:14] 11710102 offset=180 → 20개 (누적 200)
[05:15:16] 11710102 offset=200 → 20개 (누적 220)
[05:15:17] 11710102 offset=220 → 20개 (누적 240)
[05:15:19] 11710102 offset=240 → 20개 (누적 260)
[05:15:21] 11710102 offset=260 → 20개 (누적 280)
[05:15:22] 11710102 offset=280 → 20개 (누적 300)
[05:15:24] 11710102 offset=300 → 20개 (누적 320)
[05:15:26] 11710102 offset=320 → 20개 (누적 340)
