[07:03:27] ==== 송파구 매물 수집 시작 ====
[07:03:27] 
📍 11710101 수집 시작
[07:03:28] 11710101 전체 매물: 612
[07:03:28] 11710101 offset=0 → 20개 (누적 20)
[07:03:30] 11710101 offset=20 → 20개 (누적 40)
[07:03:31] 11710101 offset=40 → 20개 (누적 60)
[07:03:33] 11710101 offset=60 → 20개 (누적 80)
[07:03:34] 11710101 offset=80 → 20개 (누적 100)
[07:03:36] 11710101 offset=100 → 20개 (누적 120)
[07:03:37] 11710101 offset=120 → 20개 (누적 140)
[07:03:39] 11710101 offset=140 → 20개 (누적 160)
[07:03:40] 11710101 offset=160 → 20개 (누적 180)
[07:03:42] 11710101 offset=180 → 20개 (누적 200)
[07:03:44] 11710101 offset=200 → 20개 (누적 220)
[07:03:45] 11710101 offset=220 → 20개 (누적 240)
[07:03:47] 11710101 offset=240 → 20개 (누적 260)
[07:03:48] 11710101 offset=260 → 20개 (누적 280)
[07:03:50] 11710101 offset=280 → 20개 (누적 300)
[07:03:52] 11710101 offset=300 → 20개 (누적 320)
[07:03:54] 11710101 offset=320 → 20개 (누적 340)
[07:03:55] 11710101 offset=340 → 20개 (누적 360)
[07:03:57] 11710101 offset=360 → 20개 (누적 380)
[07:03:59] 11710101 offset=380 → 20개 (누적 400)
[07:04:00] 11710101 offset=400 → 20개 (누적 420)
[07:04:02] 11710101 offset=420 → 20개 (누적 440)
[07:04:04] 11710101 offset=440 → 20개 (누적 460)
[07:04:06] 11710101 offset=460 → 20개 (누적 480)
[07:04:07] 11710101 offset=480 → 20개 (누적 500)
[07:04:09] 11710101 offset=500 → 20개 (누적 520)
[07:04:10] 11710101 offset=520 → 20개 (누적 540)
[07:04:12] 11710101 offset=540 → 20개 (누적 560)
[07:04:13] 11710101 offset=560 → 20개 (누적 580)
[07:04:15] 11710101 offset=580 → 20개 (누적 600)
[07:04:16] 11710101 offset=600 → 12개 (누적 612)
[07:04:16] 
📍 11710102 수집 시작
[07:04:17] 11710102 전체 매물: 659
[07:04:17] 11710102 offset=0 → 20개 (누적 20)
[07:04:18] 11710102 offset=20 → 20개 (누적 40)
[07:04:19] 11710102 offset=40 → 20개 (누적 60)
[07:04:21] 11710102 offset=60 → 20개 (누적 80)
[07:04:22] 11710102 offset=80 → 20개 (누적 100)
[07:04:24] 11710102 offset=100 → 20개 (누적 120)
[07:04:25] 11710102 offset=120 → 20개 (누적 140)
[07:04:27] 11710102 offset=140 → 20개 (누적 160)
[07:04:28] 11710102 offset=160 → 20개 (누적 180)
[07:04:30] 11710102 offset=180 → 20개 (누적 200)
[07:04:31] 11710102 offset=200 → 20개 (누적 220)
[07:04:32] 11710102 offset=220 → 20개 (누적 240)
[07:04:34] 11710102 offset=240 → 20개 (누적 260)
[07:04:35] 11710102 offset=260 → 20개 (누적 280)
[07:04:37] 11710102 offset=280 → 20개 (누적 300)
[07:04:38] 11710102 offset=300 → 20개 (누적 320)
[07:04:40] 11710102 offset=320 → 20개 (누적 340)
[07:04:41] 11710102 offset=340 → 20개 (누적 360)
[07:04:43] 11710102 offset=360 → 20개 (누적 380)
[07:04:44] 11710102 offset=380 → 20개 (누적 400)
[07:04:45] 11710102 offset=400 → 20개 (누적 420)
[07:04:47] 11710102 offset=420 → 20개 (누적 440)
[07:04:48] 11710102 offset=440 → 20개 (누적 460)
[07:04:50] 11710102 offset=460 → 20개 (누적 480)
[07:04:51] 11710102 offset=480 → 20개 (누적 500)
[07:04:52] 11710102 offset=500 → 20개 (누적 520)
[07:04:54] 11710102 offset=520 → 20개 (누적 540)
[07:04:55] 11710102 offset=540 → 20개 (누적 560)
[07:04:57] 11710102 offset=560 → 20개 (누적 580)
[07:04:58] 11710102 offset=580 → 20개 (누적 600)
[07:04:59] 11710102 offset=600 → 20개 (누적 620)
[07:05:01] 11710102 offset=620 → 20개 (누적 640)
[07:05:02] 11710102 offset=640 → 19개 (누적 659)
[07:05:02] 
📍 11710103 수집 시작
[07:05:02] 11710103 전체 매물: 610
[07:05:02] 11710103 offset=0 → 20개 (누적 20)
[07:05:04] 11710103 offset=20 → 20개 (누적 40)
[07:05:05] 11710103 offset=40 → 20개 (누적 60)
[07:05:07] 11710103 offset=60 → 20개 (누적 80)
[07:05:08] 11710103 offset=80 → 20개 (누적 100)
[07:05:10] 11710103 offset=100 → 20개 (누적 120)
[07:05:11] 11710103 offset=120 → 20개 (누적 140)
