[05:44:00] ==== 송파구 매물 수집 시작 ====
[05:44:00] 
📍 11710101 수집 시작
[05:44:01] 11710101 전체 매물: 642
[05:44:01] 11710101 offset=0 → 20개 (누적 20)
[05:44:03] 11710101 offset=20 → 20개 (누적 40)
[05:44:04] 11710101 offset=40 → 20개 (누적 60)
[05:44:06] 11710101 offset=60 → 20개 (누적 80)
[05:44:07] 11710101 offset=80 → 20개 (누적 100)
[05:44:09] 11710101 offset=100 → 20개 (누적 120)
[05:44:11] 11710101 offset=120 → 20개 (누적 140)
[05:44:12] 11710101 offset=140 → 20개 (누적 160)
[05:44:14] 11710101 offset=160 → 20개 (누적 180)
[05:44:15] 11710101 offset=180 → 20개 (누적 200)
[05:44:17] 11710101 offset=200 → 20개 (누적 220)
[05:44:18] 11710101 offset=220 → 20개 (누적 240)
[05:44:19] 11710101 offset=240 → 20개 (누적 260)
[05:44:21] 11710101 offset=260 → 20개 (누적 280)
[05:44:22] 11710101 offset=280 → 20개 (누적 300)
[05:44:24] 11710101 offset=300 → 20개 (누적 320)
[05:44:25] 11710101 offset=320 → 20개 (누적 340)
[05:44:27] 11710101 offset=340 → 20개 (누적 360)
[05:44:28] 11710101 offset=360 → 20개 (누적 380)
[05:44:30] 11710101 offset=380 → 20개 (누적 400)
[05:44:32] 11710101 offset=400 → 20개 (누적 420)
[05:44:33] 11710101 offset=420 → 20개 (누적 440)
[05:44:35] 11710101 offset=440 → 20개 (누적 460)
[05:44:36] 11710101 offset=460 → 20개 (누적 480)
[05:44:38] 11710101 offset=480 → 20개 (누적 500)
[05:44:39] 11710101 offset=500 → 20개 (누적 520)
[05:44:41] 11710101 offset=520 → 20개 (누적 540)
[05:44:42] 11710101 offset=540 → 20개 (누적 560)
[05:44:44] 11710101 offset=560 → 20개 (누적 580)
[05:44:45] 11710101 offset=580 → 20개 (누적 600)
[05:44:47] 11710101 offset=600 → 20개 (누적 620)
[05:44:48] 11710101 offset=620 → 20개 (누적 640)
[05:44:50] 11710101 offset=640 → 2개 (누적 642)
[05:44:50] 
📍 11710102 수집 시작
[05:44:50] 11710102 전체 매물: 694
[05:44:50] 11710102 offset=0 → 20개 (누적 20)
[05:44:52] 11710102 offset=20 → 20개 (누적 40)
[05:44:53] 11710102 offset=40 → 20개 (누적 60)
[05:44:55] 11710102 offset=60 → 20개 (누적 80)
[05:44:56] 11710102 offset=80 → 20개 (누적 100)
[05:44:58] 11710102 offset=100 → 20개 (누적 120)
[05:45:00] 11710102 offset=120 → 20개 (누적 140)
[05:45:01] 11710102 offset=140 → 20개 (누적 160)
[05:45:03] 11710102 offset=160 → 20개 (누적 180)
[05:45:04] 11710102 offset=180 → 20개 (누적 200)
[05:45:06] 11710102 offset=200 → 20개 (누적 220)
[05:45:07] 11710102 offset=220 → 20개 (누적 240)
[05:45:09] 11710102 offset=240 → 20개 (누적 260)
[05:45:11] 11710102 offset=260 → 20개 (누적 280)
[05:45:12] 11710102 offset=280 → 20개 (누적 300)
[05:45:13] 11710102 offset=300 → 20개 (누적 320)
[05:45:15] 11710102 offset=320 → 20개 (누적 340)
[05:45:17] 11710102 offset=340 → 20개 (누적 360)
[05:45:18] 11710102 offset=360 → 20개 (누적 380)
[05:45:20] 11710102 offset=380 → 20개 (누적 400)
[05:45:21] 11710102 offset=400 → 20개 (누적 420)
[05:45:22] 11710102 offset=420 → 20개 (누적 440)
[05:45:24] 11710102 offset=440 → 20개 (누적 460)
[05:45:25] 11710102 offset=460 → 20개 (누적 480)
[05:45:27] 11710102 offset=480 → 20개 (누적 500)
[05:45:29] 11710102 offset=500 → 20개 (누적 520)
[05:45:30] 11710102 offset=520 → 20개 (누적 540)
[05:45:31] 11710102 offset=540 → 20개 (누적 560)
[05:45:33] 11710102 offset=560 → 20개 (누적 580)
[05:45:35] 11710102 offset=580 → 20개 (누적 600)
[05:45:37] 11710102 offset=600 → 20개 (누적 620)
[05:45:38] 11710102 offset=620 → 20개 (누적 640)
[05:45:40] 11710102 offset=640 → 20개 (누적 660)
[05:45:42] 11710102 offset=660 → 20개 (누적 680)
[05:45:43] 11710102 offset=680 → 14개 (누적 694)
[05:45:43] 
📍 11710103 수집 시작
[05:45:43] 11710103 전체 매물: 645
