수집시간,단지명,구,동,거래유형,층,면적(m2),평,보증금,월세,가격(억),타입,방향,매물ID,URL
2026-08-09 03:31:36,가락금호,송파구,가락동,매매,17,84.85,25.67,225000,0,22.5,32B,,49694413,https://www.zigbang.com/home/apt/items/49694413
2026-08-09 03:31:36,가락대림,송파구,가락동,매매,저,99.38,30.06,217000,0,21.7,36,,49428507,https://www.zigbang.com/home/apt/items/49428507
2026-08-09 03:31:36,가락대림,송파구,가락동,매매,저,120.96,36.59,220000,0,22.0,44,,49428334,https://www.zigbang.com/home/apt/items/49428334
2026-08-09 03:31:36,가락대림,송파구,가락동,매매,11,120.96,36.59,230000,0,23.0,44,,245523,https://www.zigbang.com/home/apt/items/245523
2026-08-09 03:31:36,가락대림,송파구,가락동,매매,12,120.96,36.59,230000,0,23.0,44,,242752,https://www.zigbang.com/home/apt/items/242752
2026-08-09 03:31:36,가락스타클래스,송파구,가락동,매매,10,84.98,25.71,165000,0,16.5,33D,,49982223,https://www.zigbang.com/home/apt/items/49982223
2026-08-09 03:31:36,가락스타클래스,송파구,가락동,매매,중,84.97,25.7,170000,0,17.0,33C,,49982236,https://www.zigbang.com/home/apt/items/49982236
2026-08-09 03:31:36,가락스타클래스,송파구,가락동,매매,고,84.93,25.69,170000,0,17.0,33B,,49982229,https://www.zigbang.com/home/apt/items/49982229
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,2,84.69,25.62,240000,0,24.0,33,,207005,https://www.zigbang.com/home/apt/items/207005
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,1,84.69,25.62,245000,0,24.5,33,,192136,https://www.zigbang.com/home/apt/items/192136
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,고,84.69,25.62,255000,0,25.5,33,,49446864,https://www.zigbang.com/home/apt/items/49446864
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,저,84.69,25.62,260000,0,26.0,33,,49446898,https://www.zigbang.com/home/apt/items/49446898
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,20,84.69,25.62,270000,0,27.0,33,,253628,https://www.zigbang.com/home/apt/items/253628
2026-08-09 03:31:36,가락쌍용1차,송파구,가락동,매매,고,84.69,25.62,275000,0,27.5,33,,49870038,https://www.zigbang.com/home/apt/items/49870038
2026-08-09 03:31:36,가락쌍용2차,송파구,가락동,매매,중,84.42,25.54,200000,0,20.0,33,,49428485,https://www.zigbang.com/home/apt/items/49428485
2026-08-09 03:31:36,가락쌍용2차,송파구,가락동,매매,7,84.42,25.54,200000,0,20.0,33,,242553,https://www.zigbang.com/home/apt/items/242553
2026-08-09 03:31:36,더샵송파루미스타,송파구,가락동,전세,중,74.9753,22.68,90000,0,9.0,30,,49368368,https://www.zigbang.com/home/apt/items/49368368
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,중,90.7,27.44,129000,0,12.9,34,,49871324,https://www.zigbang.com/home/apt/items/49871324
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,9,101.52,30.71,140000,0,14.0,38,,236008,https://www.zigbang.com/home/apt/items/236008
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,저,101.52,30.71,143000,0,14.3,38,,49737223,https://www.zigbang.com/home/apt/items/49737223
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,저,103.96,31.45,145000,0,14.5,39,,49963973,https://www.zigbang.com/home/apt/items/49963973
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,중,118.85,35.95,152500,0,15.25,45,,49379712,https://www.zigbang.com/home/apt/items/49379712
2026-08-09 03:31:36,성원상떼빌,송파구,가락동,매매,7,117.16,35.44,165000,0,16.5,44,,243559,https://www.zigbang.com/home/apt/items/243559
2026-08-09 03:31:36,송파가락두산위브센티움,송파구,가락동,매매,10,33.1,10.01,27000,0,2.7,14B,,194494,https://www.zigbang.com/home/apt/items/194494
2026-08-09 03:31:36,한화오벨리스크,송파구,가락동,매매,20,25.32,7.66,18700,0,1.87,11,,213541,https://www.zigbang.com/home/apt/items/213541
2026-08-09 03:31:36,한화오벨리스크,송파구,가락동,매매,20,48.8,14.76,60000,0,6.0,21,,224644,https://www.zigbang.com/home/apt/items/224644
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,중,99.6,30.13,10000,600,1.0,38,,49967246,https://www.zigbang.com/home/apt/items/49967246
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,고,39.1,11.83,10000,280,1.0,18A,,49786351,https://www.zigbang.com/home/apt/items/49786351
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,중,84.98,25.71,10000,460,1.0,33G,,49263617,https://www.zigbang.com/home/apt/items/49263617
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,중,99.6,30.13,20000,550,2.0,38,,49967513,https://www.zigbang.com/home/apt/items/49967513
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,저,84.99,25.71,20000,440,2.0,33D,,49819184,https://www.zigbang.com/home/apt/items/49819184
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,중,99.6,30.13,20000,560,2.0,38,,49779385,https://www.zigbang.com/home/apt/items/49779385
2026-08-09 03:31:36,헬리오시티,송파구,가락동,월세,고,84.95,25.7,20000,440,2.0,33F,,49633181,https://www.zigbang.com/home/apt/items/49633181
