수집시간,단지명,구,동,거래유형,층,면적(m2),평,보증금,월세,가격(억),타입,방향,매물ID,URL
2026-06-07 06:20:25,가락극동,송파구,가락동,전세,12,59.4,17.97,47000,0,4.7,24,,242941,https://www.zigbang.com/home/apt/items/242941
2026-06-07 06:20:25,가락금호,송파구,가락동,매매,고,59.91,18.12,205000,0,20.5,25A,,49234023,https://www.zigbang.com/home/apt/items/49234023
2026-06-07 06:20:25,가락대림,송파구,가락동,매매,중,68.78,20.81,155000,0,15.5,27,,49270265,https://www.zigbang.com/home/apt/items/49270265
2026-06-07 06:20:25,가락대림,송파구,가락동,매매,중,84.11,25.44,176000,0,17.6,31,,49270335,https://www.zigbang.com/home/apt/items/49270335
2026-06-07 06:20:25,가락대림,송파구,가락동,매매,12,120.96,36.59,230000,0,23.0,44,,242752,https://www.zigbang.com/home/apt/items/242752
2026-06-07 06:20:25,가락삼환,송파구,가락동,매매,7,72.88,22.05,205000,0,20.5,28B,,49267284,https://www.zigbang.com/home/apt/items/49267284
2026-06-07 06:20:25,가락스타클래스,송파구,가락동,매매,고,84.93,25.69,170000,0,17.0,33B,,49267611,https://www.zigbang.com/home/apt/items/49267611
2026-06-07 06:20:25,가락스타클래스,송파구,가락동,매매,고,115.94,35.07,190000,0,19.0,45,,49267617,https://www.zigbang.com/home/apt/items/49267617
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,전세,고,84.69,25.62,90000,0,9.0,33,,49138271,https://www.zigbang.com/home/apt/items/49138271
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,매매,6,59.92,18.13,195000,0,19.5,25,,237988,https://www.zigbang.com/home/apt/items/237988
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,매매,고,59.92,18.13,210000,0,21.0,25,,49234181,https://www.zigbang.com/home/apt/items/49234181
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,매매,2,84.69,25.62,240000,0,24.0,33,,207005,https://www.zigbang.com/home/apt/items/207005
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,매매,1,84.69,25.62,240000,0,24.0,33,,192136,https://www.zigbang.com/home/apt/items/192136
2026-06-07 06:20:25,가락쌍용1차,송파구,가락동,매매,중,84.69,25.62,250000,0,25.0,33,,46758501,https://www.zigbang.com/home/apt/items/46758501
2026-06-07 06:20:25,가락쌍용2차,송파구,가락동,매매,저,59.88,18.11,175000,0,17.5,25,,49262953,https://www.zigbang.com/home/apt/items/49262953
2026-06-07 06:20:25,가락쌍용2차,송파구,가락동,매매,저,84.42,25.54,197000,0,19.7,33,,49262925,https://www.zigbang.com/home/apt/items/49262925
2026-06-07 06:20:25,가락쌍용2차,송파구,가락동,매매,중,84.42,25.54,200000,0,20.0,33,,49263034,https://www.zigbang.com/home/apt/items/49263034
2026-06-07 06:20:25,가락쌍용2차,송파구,가락동,매매,7,84.42,25.54,200000,0,20.0,33,,242553,https://www.zigbang.com/home/apt/items/242553
2026-06-07 06:20:25,가락풍림,송파구,가락동,매매,저,80.52,24.36,130000,0,13.0,32,,48770032,https://www.zigbang.com/home/apt/items/48770032
2026-06-07 06:20:25,가락현대(60동),송파구,가락동,매매,중,82.16,24.85,150000,0,15.0,28,,49267496,https://www.zigbang.com/home/apt/items/49267496
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,중,59.9523,18.14,10000,360,1.0,24,,49267398,https://www.zigbang.com/home/apt/items/49267398
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,11,84.9856,25.71,50000,300,5.0,34A,,49267404,https://www.zigbang.com/home/apt/items/49267404
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,15,84.9862,25.71,50000,280,5.0,34B,,49267402,https://www.zigbang.com/home/apt/items/49267402
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,중,74.9753,22.68,50000,200,5.0,30,,49032868,https://www.zigbang.com/home/apt/items/49032868
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,고,84.9273,25.69,60000,140,6.0,34C,,49237775,https://www.zigbang.com/home/apt/items/49237775
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,월세,9,84.9856,25.71,90000,100,9.0,34A,,48141811,https://www.zigbang.com/home/apt/items/48141811
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,저,74.9753,22.68,98000,0,9.8,30,,49267409,https://www.zigbang.com/home/apt/items/49267409
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,고,84.9273,25.69,99000,0,9.9,34C,,49237729,https://www.zigbang.com/home/apt/items/49237729
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,고,84.9862,25.71,105000,0,10.5,34B,,49267417,https://www.zigbang.com/home/apt/items/49267417
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,12,84.9856,25.71,105000,0,10.5,34A,,49267414,https://www.zigbang.com/home/apt/items/49267414
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,21,84.9856,25.71,105000,0,10.5,34A,,49267412,https://www.zigbang.com/home/apt/items/49267412
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,14,84.9273,25.69,105000,0,10.5,34C,,48833481,https://www.zigbang.com/home/apt/items/48833481
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,고,84.9856,25.71,110000,0,11.0,34A,,49267432,https://www.zigbang.com/home/apt/items/49267432
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,고,84.9273,25.69,110000,0,11.0,34C,,49267426,https://www.zigbang.com/home/apt/items/49267426
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,중,84.9856,25.71,115000,0,11.5,34A,,48141770,https://www.zigbang.com/home/apt/items/48141770
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,14,99.9989,30.25,129000,0,12.9,40,,49267436,https://www.zigbang.com/home/apt/items/49267436
2026-06-07 06:20:25,더샵송파루미스타,송파구,가락동,전세,저,99.9989,30.25,130000,0,13.0,40,,49267440,https://www.zigbang.com/home/apt/items/49267440
2026-06-07 06:20:25,미륭,송파구,가락동,매매,3,60.72,18.37,180000,0,18.0,24,,49267556,https://www.zigbang.com/home/apt/items/49267556
2026-06-07 06:20:25,성원상떼빌,송파구,가락동,매매,9,101.52,30.71,150000,0,15.0,38,,236008,https://www.zigbang.com/home/apt/items/236008
2026-06-07 06:20:25,성원상떼빌,송파구,가락동,매매,중,101.52,30.71,153000,0,15.3,38,,48921176,https://www.zigbang.com/home/apt/items/48921176
2026-06-07 06:20:25,성원상떼빌,송파구,가락동,매매,5,117.16,35.44,158000,0,15.8,44,,48781964,https://www.zigbang.com/home/apt/items/48781964
2026-06-07 06:20:25,송파가락두산위브센티움,송파구,가락동,매매,10,33.1,10.01,27000,0,2.7,14B,,194494,https://www.zigbang.com/home/apt/items/194494
2026-06-07 06:20:25,송파동부센트레빌,송파구,가락동,월세,저,84.98,25.71,70000,120,7.0,32,,49157385,https://www.zigbang.com/home/apt/items/49157385
2026-06-07 06:20:25,한화오벨리스크,송파구,가락동,매매,20,25.32,7.66,18500,0,1.85,11,,213541,https://www.zigbang.com/home/apt/items/213541
2026-06-07 06:20:25,한화오벨리스크,송파구,가락동,매매,20,48.8,14.76,60000,0,6.0,21,,224644,https://www.zigbang.com/home/apt/items/224644
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,중,130.06,39.34,2000,700,0.2,49,,49263427,https://www.zigbang.com/home/apt/items/49263427
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,중,84.98,25.71,10000,470,1.0,33G,,49263617,https://www.zigbang.com/home/apt/items/49263617
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,84.98,25.71,20000,440,2.0,33G,,49263537,https://www.zigbang.com/home/apt/items/49263537
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,저,59.96,18.14,20000,350,2.0,25,,49151572,https://www.zigbang.com/home/apt/items/49151572
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,39.12,11.83,20000,240,2.0,18B,,48992891,https://www.zigbang.com/home/apt/items/48992891
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,12,59.96,18.14,20000,350,2.0,25,,47616184,https://www.zigbang.com/home/apt/items/47616184
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,110.66,33.47,30000,600,3.0,42A,,49145079,https://www.zigbang.com/home/apt/items/49145079
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,59.96,18.14,30000,300,3.0,25,,47770850,https://www.zigbang.com/home/apt/items/47770850
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,저,110.66,33.47,40000,500,4.0,42A,,48559300,https://www.zigbang.com/home/apt/items/48559300
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,중,84.99,25.71,50000,300,5.0,33D,,48633532,https://www.zigbang.com/home/apt/items/48633532
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,중,84.99,25.71,60000,250,6.0,33D,,48644184,https://www.zigbang.com/home/apt/items/48644184
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,84.98,25.71,70000,240,7.0,32A,,49157938,https://www.zigbang.com/home/apt/items/49157938
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,30,84.98,25.71,80000,200,8.0,32A,,49260709,https://www.zigbang.com/home/apt/items/49260709
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,고,59.96,18.14,80000,120,8.0,25,,49238197,https://www.zigbang.com/home/apt/items/49238197
2026-06-07 06:20:25,헬리오시티,송파구,가락동,월세,중,59.96,18.14,80000,120,8.0,25,,49227527,https://www.zigbang.com/home/apt/items/49227527
2026-06-07 06:20:25,헬리오시티,송파구,가락동,전세,저,39.1,11.83,80000,0,8.0,18A,,49015536,https://www.zigbang.com/home/apt/items/49015536
2026-06-07 06:20:25,헬리오시티,송파구,가락동,전세,중,39.1,11.83,85000,0,8.5,18A,,49233885,https://www.zigbang.com/home/apt/items/49233885
2026-06-07 06:20:25,헬리오시티,송파구,가락동,전세,저,39.1,11.83,90000,0,9.0,18A,,49051204,https://www.zigbang.com/home/apt/items/49051204
