[05:40:54] ==== 송파구 매물 수집 시작 ====
[05:40:54] 
📍 11710101 수집 시작
[05:40:54] 11710101 전체 매물: 678
[05:40:54] 11710101 offset=0 → 20개 (누적 20)
[05:40:56] 11710101 offset=20 → 20개 (누적 40)
[05:40:57] 11710101 offset=40 → 20개 (누적 60)
[05:40:59] 11710101 offset=60 → 20개 (누적 80)
[05:41:00] 11710101 offset=80 → 20개 (누적 100)
[05:41:02] 11710101 offset=100 → 20개 (누적 120)
[05:41:03] 11710101 offset=120 → 20개 (누적 140)
[05:41:05] 11710101 offset=140 → 20개 (누적 160)
[05:41:06] 11710101 offset=160 → 20개 (누적 180)
[05:41:08] 11710101 offset=180 → 20개 (누적 200)
[05:41:09] 11710101 offset=200 → 20개 (누적 220)
[05:41:10] 11710101 offset=220 → 20개 (누적 240)
[05:41:12] 11710101 offset=240 → 20개 (누적 260)
[05:41:13] 11710101 offset=260 → 20개 (누적 280)
[05:41:15] 11710101 offset=280 → 20개 (누적 300)
[05:41:16] 11710101 offset=300 → 20개 (누적 320)
[05:41:17] 11710101 offset=320 → 20개 (누적 340)
[05:41:19] 11710101 offset=340 → 20개 (누적 360)
[05:41:20] 11710101 offset=360 → 20개 (누적 380)
[05:41:21] 11710101 offset=380 → 20개 (누적 400)
[05:41:23] 11710101 offset=400 → 20개 (누적 420)
[05:41:24] 11710101 offset=420 → 20개 (누적 440)
[05:41:26] 11710101 offset=440 → 20개 (누적 460)
[05:41:27] 11710101 offset=460 → 20개 (누적 480)
[05:41:28] 11710101 offset=480 → 20개 (누적 500)
[05:41:30] 11710101 offset=500 → 20개 (누적 520)
[05:41:31] 11710101 offset=520 → 20개 (누적 540)
[05:41:33] 11710101 offset=540 → 20개 (누적 560)
[05:41:34] 11710101 offset=560 → 20개 (누적 580)
[05:41:36] 11710101 offset=580 → 20개 (누적 600)
[05:41:37] 11710101 offset=600 → 20개 (누적 620)
[05:41:38] 11710101 offset=620 → 20개 (누적 640)
[05:41:40] 11710101 offset=640 → 20개 (누적 660)
[05:41:41] 11710101 offset=660 → 18개 (누적 678)
[05:41:41] 
📍 11710102 수집 시작
[05:41:42] 11710102 전체 매물: 729
[05:41:42] 11710102 offset=0 → 20개 (누적 20)
[05:41:43] 11710102 offset=20 → 20개 (누적 40)
[05:41:44] 11710102 offset=40 → 20개 (누적 60)
[05:41:46] 11710102 offset=60 → 20개 (누적 80)
[05:41:47] 11710102 offset=80 → 20개 (누적 100)
[05:41:49] 11710102 offset=100 → 20개 (누적 120)
[05:41:50] 11710102 offset=120 → 20개 (누적 140)
[05:41:51] 11710102 offset=140 → 20개 (누적 160)
[05:41:53] 11710102 offset=160 → 20개 (누적 180)
[05:41:54] 11710102 offset=180 → 20개 (누적 200)
[05:41:56] 11710102 offset=200 → 20개 (누적 220)
[05:41:57] 11710102 offset=220 → 20개 (누적 240)
[05:41:59] 11710102 offset=240 → 20개 (누적 260)
[05:42:00] 11710102 offset=260 → 20개 (누적 280)
[05:42:02] 11710102 offset=280 → 20개 (누적 300)
[05:42:03] 11710102 offset=300 → 20개 (누적 320)
[05:42:04] 11710102 offset=320 → 20개 (누적 340)
[05:42:06] 11710102 offset=340 → 20개 (누적 360)
[05:42:07] 11710102 offset=360 → 20개 (누적 380)
[05:42:08] 11710102 offset=380 → 20개 (누적 400)
[05:42:10] 11710102 offset=400 → 20개 (누적 420)
[05:42:11] 11710102 offset=420 → 20개 (누적 440)
[05:42:12] 11710102 offset=440 → 20개 (누적 460)
[05:42:14] 11710102 offset=460 → 20개 (누적 480)
[05:42:15] 11710102 offset=480 → 20개 (누적 500)
[05:42:17] 11710102 offset=500 → 20개 (누적 520)
[05:42:18] 11710102 offset=520 → 20개 (누적 540)
[05:42:19] 11710102 offset=540 → 20개 (누적 560)
[05:42:21] 11710102 offset=560 → 20개 (누적 580)
[05:42:22] 11710102 offset=580 → 20개 (누적 600)
[05:42:24] 11710102 offset=600 → 20개 (누적 620)
[05:42:25] 11710102 offset=620 → 20개 (누적 640)
[05:42:26] 11710102 offset=640 → 20개 (누적 660)
[05:42:28] 11710102 offset=660 → 20개 (누적 680)
[05:42:29] 11710102 offset=680 → 20개 (누적 700)
[05:42:31] 11710102 offset=700 → 20개 (누적 720)
[05:42:32] 11710102 offset=720 → 9개 (누적 729)
[05:42:32] 
📍 11710103 수집 시작
[05:42:32] 11710103 전체 매물: 678
[05:42:32] 11710103 offset=0 → 20개 (누적 20)
