수집시간,단지명,구,동,거래유형,층,면적(m2),평,보증금,월세,가격(억),타입,방향,매물ID,URL
2026-07-18 04:46:36,가락금호,송파구,가락동,매매,17,84.85,25.67,225000,0,22.5,32B,,49694413,https://www.zigbang.com/home/apt/items/49694413
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,중,68.78,20.81,155000,0,15.5,27,,49270265,https://www.zigbang.com/home/apt/items/49270265
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,중,84.11,25.44,176000,0,17.6,31,,49270335,https://www.zigbang.com/home/apt/items/49270335
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,저,99.38,30.06,217000,0,21.7,36,,49428507,https://www.zigbang.com/home/apt/items/49428507
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,중,120.96,36.59,220000,0,22.0,44,,49428467,https://www.zigbang.com/home/apt/items/49428467
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,저,120.96,36.59,220000,0,22.0,44,,49428334,https://www.zigbang.com/home/apt/items/49428334
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,11,120.96,36.59,230000,0,23.0,44,,245523,https://www.zigbang.com/home/apt/items/245523
2026-07-18 04:46:36,가락대림,송파구,가락동,매매,12,120.96,36.59,230000,0,23.0,44,,242752,https://www.zigbang.com/home/apt/items/242752
2026-07-18 04:46:36,가락스타클래스,송파구,가락동,매매,10,84.98,25.71,165000,0,16.5,33D,,49749577,https://www.zigbang.com/home/apt/items/49749577
2026-07-18 04:46:36,가락스타클래스,송파구,가락동,매매,중,84.97,25.7,170000,0,17.0,33C,,49749586,https://www.zigbang.com/home/apt/items/49749586
2026-07-18 04:46:36,가락스타클래스,송파구,가락동,매매,고,84.93,25.69,170000,0,17.0,33B,,49749580,https://www.zigbang.com/home/apt/items/49749580
2026-07-18 04:46:36,가락쌍용1차,송파구,가락동,매매,고,59.92,18.13,210000,0,21.0,25,,49234181,https://www.zigbang.com/home/apt/items/49234181
2026-07-18 04:46:36,가락쌍용1차,송파구,가락동,매매,2,84.69,25.62,240000,0,24.0,33,,207005,https://www.zigbang.com/home/apt/items/207005
2026-07-18 04:46:36,가락쌍용1차,송파구,가락동,매매,1,84.69,25.62,240000,0,24.0,33,,192136,https://www.zigbang.com/home/apt/items/192136
2026-07-18 04:46:36,가락쌍용1차,송파구,가락동,매매,고,84.69,25.62,255000,0,25.5,33,,49446864,https://www.zigbang.com/home/apt/items/49446864
2026-07-18 04:46:36,가락쌍용1차,송파구,가락동,매매,저,84.69,25.62,260000,0,26.0,33,,49446898,https://www.zigbang.com/home/apt/items/49446898
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,17,59.88,18.11,185000,0,18.5,25,,49283373,https://www.zigbang.com/home/apt/items/49283373
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,저,84.42,25.54,190000,0,19.0,33,,49380379,https://www.zigbang.com/home/apt/items/49380379
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,저,84.42,25.54,197000,0,19.7,33,,49262925,https://www.zigbang.com/home/apt/items/49262925
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,중,84.42,25.54,200000,0,20.0,33,,49380349,https://www.zigbang.com/home/apt/items/49380349
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,중,84.42,25.54,200000,0,20.0,33,,49263034,https://www.zigbang.com/home/apt/items/49263034
2026-07-18 04:46:36,가락쌍용2차,송파구,가락동,매매,7,84.42,25.54,200000,0,20.0,33,,242553,https://www.zigbang.com/home/apt/items/242553
2026-07-18 04:46:36,더샵송파루미스타,송파구,가락동,전세,중,74.9753,22.68,90000,0,9.0,30,,49368368,https://www.zigbang.com/home/apt/items/49368368
2026-07-18 04:46:36,더샵송파루미스타,송파구,가락동,전세,저,84.9856,25.71,95000,0,9.5,34A,,49411234,https://www.zigbang.com/home/apt/items/49411234
2026-07-18 04:46:36,더샵송파루미스타,송파구,가락동,전세,5,99.9989,30.25,126000,0,12.6,40,,49547182,https://www.zigbang.com/home/apt/items/49547182
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,전세,저,117.16,35.44,100000,0,10.0,44,,49733064,https://www.zigbang.com/home/apt/items/49733064
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,매매,9,101.52,30.71,140000,0,14.0,38,,236008,https://www.zigbang.com/home/apt/items/236008
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,매매,저,101.52,30.71,143000,0,14.3,38,,49737223,https://www.zigbang.com/home/apt/items/49737223
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,매매,저,101.52,30.71,150000,0,15.0,38,,49410607,https://www.zigbang.com/home/apt/items/49410607
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,매매,중,118.85,35.95,152500,0,15.25,45,,49379712,https://www.zigbang.com/home/apt/items/49379712
2026-07-18 04:46:36,성원상떼빌,송파구,가락동,매매,7,117.16,35.44,165000,0,16.5,44,,243559,https://www.zigbang.com/home/apt/items/243559
2026-07-18 04:46:36,송파가락두산위브센티움,송파구,가락동,매매,10,33.1,10.01,27000,0,2.7,14B,,194494,https://www.zigbang.com/home/apt/items/194494
2026-07-18 04:46:36,송파동부센트레빌,송파구,가락동,월세,저,84.98,25.71,70000,120,7.0,32,,49157385,https://www.zigbang.com/home/apt/items/49157385
2026-07-18 04:46:36,송파동부센트레빌,송파구,가락동,월세,고,84.98,25.71,80000,80,8.0,32,,49439029,https://www.zigbang.com/home/apt/items/49439029
2026-07-18 04:46:36,한화오벨리스크,송파구,가락동,매매,20,25.32,7.66,18700,0,1.87,11,,213541,https://www.zigbang.com/home/apt/items/213541
2026-07-18 04:46:36,한화오벨리스크,송파구,가락동,매매,20,48.8,14.76,60000,0,6.0,21,,224644,https://www.zigbang.com/home/apt/items/224644
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.98,25.71,10000,470,1.0,33G,,49263617,https://www.zigbang.com/home/apt/items/49263617
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,84.95,25.7,20000,440,2.0,33F,,49633181,https://www.zigbang.com/home/apt/items/49633181
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,110.44,33.41,20000,550,2.0,43B,,49455805,https://www.zigbang.com/home/apt/items/49455805
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,59.96,18.14,20000,350,2.0,25,,49151572,https://www.zigbang.com/home/apt/items/49151572
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,59.96,18.14,20000,350,2.0,25,,47770850,https://www.zigbang.com/home/apt/items/47770850
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,110.44,33.41,20000,550,2.0,43B,,49343871,https://www.zigbang.com/home/apt/items/49343871
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,110.66,33.47,30000,500,3.0,42A,,49736195,https://www.zigbang.com/home/apt/items/49736195
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.99,25.71,30000,400,3.0,33D,,49711761,https://www.zigbang.com/home/apt/items/49711761
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,110.66,33.47,30000,560,3.0,42A,,49415009,https://www.zigbang.com/home/apt/items/49415009
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.98,25.71,30000,400,3.0,33K,,49302815,https://www.zigbang.com/home/apt/items/49302815
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,29,84.99,25.71,30000,400,3.0,33D,,49730947,https://www.zigbang.com/home/apt/items/49730947
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,84.99,25.71,30000,400,3.0,33D,,49343938,https://www.zigbang.com/home/apt/items/49343938
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.98,25.71,40000,350,4.0,33K,,49457597,https://www.zigbang.com/home/apt/items/49457597
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,110.66,33.47,40000,500,4.0,42A,,48559300,https://www.zigbang.com/home/apt/items/48559300
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.98,25.71,50000,320,5.0,33E,,49663243,https://www.zigbang.com/home/apt/items/49663243
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.98,25.71,50000,320,5.0,33E,,49628952,https://www.zigbang.com/home/apt/items/49628952
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.98,25.71,50000,300,5.0,33E,,49506307,https://www.zigbang.com/home/apt/items/49506307
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,59.96,18.14,50000,240,5.0,25,,49286653,https://www.zigbang.com/home/apt/items/49286653
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,84.95,25.7,50000,320,5.0,33F,,49343918,https://www.zigbang.com/home/apt/items/49343918
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,84.95,25.7,60000,300,6.0,33F,,49737293,https://www.zigbang.com/home/apt/items/49737293
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.95,25.7,60000,300,6.0,33F,,49645319,https://www.zigbang.com/home/apt/items/49645319
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.99,25.71,60000,300,6.0,33D,,49449823,https://www.zigbang.com/home/apt/items/49449823
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.98,25.71,70000,240,7.0,33E,,49722781,https://www.zigbang.com/home/apt/items/49722781
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,59.96,18.14,70000,165,7.0,25,,49722654,https://www.zigbang.com/home/apt/items/49722654
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,59.96,18.14,70000,165,7.0,25,,49644655,https://www.zigbang.com/home/apt/items/49644655
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,110.66,33.47,70000,400,7.0,42A,,49428742,https://www.zigbang.com/home/apt/items/49428742
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,84.98,25.71,70000,240,7.0,32A,,49157938,https://www.zigbang.com/home/apt/items/49157938
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.99,25.71,70000,220,7.0,33D,,48644184,https://www.zigbang.com/home/apt/items/48644184
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,저,84.99,25.71,70000,240,7.0,33D,,49343798,https://www.zigbang.com/home/apt/items/49343798
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,30,84.98,25.71,80000,200,8.0,32A,,49260709,https://www.zigbang.com/home/apt/items/49260709
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,고,59.96,18.14,80000,120,8.0,25,,49238197,https://www.zigbang.com/home/apt/items/49238197
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,39.1,11.83,80000,0,8.0,18A,,49233885,https://www.zigbang.com/home/apt/items/49233885
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,59.96,18.14,80000,120,8.0,25,,49227527,https://www.zigbang.com/home/apt/items/49227527
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,39.86,12.06,85000,0,8.5,19C,,49751435,https://www.zigbang.com/home/apt/items/49751435
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,39.12,11.83,85000,0,8.5,18B,,49751377,https://www.zigbang.com/home/apt/items/49751377
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,고,39.1,11.83,85000,0,8.5,18A,,49723632,https://www.zigbang.com/home/apt/items/49723632
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,저,39.1,11.83,85000,0,8.5,18A,,49051204,https://www.zigbang.com/home/apt/items/49051204
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,고,59.96,18.14,102000,0,10.2,25,,49113806,https://www.zigbang.com/home/apt/items/49113806
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.95,25.7,105000,100,10.5,33F,,49302931,https://www.zigbang.com/home/apt/items/49302931
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.95,25.7,105000,100,10.5,33F,,49272413,https://www.zigbang.com/home/apt/items/49272413
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,고,59.96,18.14,105000,0,10.5,25,,49238072,https://www.zigbang.com/home/apt/items/49238072
2026-07-18 04:46:36,헬리오시티,송파구,가락동,월세,중,84.98,25.71,105000,100,10.5,32A,,48561877,https://www.zigbang.com/home/apt/items/48561877
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,고,59.96,18.14,105000,0,10.5,25,,49343927,https://www.zigbang.com/home/apt/items/49343927
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,59.96,18.14,107000,0,10.7,25,,49570615,https://www.zigbang.com/home/apt/items/49570615
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,84.98,25.71,123000,0,12.3,33E,,48904285,https://www.zigbang.com/home/apt/items/48904285
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,고,84.98,25.71,125000,0,12.5,32A,,49343778,https://www.zigbang.com/home/apt/items/49343778
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,84.95,25.7,130000,0,13.0,33F,,49724655,https://www.zigbang.com/home/apt/items/49724655
2026-07-18 04:46:36,헬리오시티,송파구,가락동,전세,중,84.98,25.71,130000,0,13.0,32A,,49722913,https://www.zigbang.com/home/apt/items/49722913
