[05:47:28] ==== 송파구 매물 수집 시작 ====
[05:47:28] 
📍 11710101 수집 시작
[05:47:29] 11710101 전체 매물: 640
[05:47:29] 11710101 offset=0 → 20개 (누적 20)
[05:47:30] 11710101 offset=20 → 20개 (누적 40)
[05:47:32] 11710101 offset=40 → 20개 (누적 60)
[05:47:33] 11710101 offset=60 → 20개 (누적 80)
[05:47:35] 11710101 offset=80 → 20개 (누적 100)
[05:47:36] 11710101 offset=100 → 20개 (누적 120)
[05:47:38] 11710101 offset=120 → 20개 (누적 140)
[05:47:39] 11710101 offset=140 → 20개 (누적 160)
[05:47:41] 11710101 offset=160 → 20개 (누적 180)
[05:47:42] 11710101 offset=180 → 20개 (누적 200)
[05:47:44] 11710101 offset=200 → 20개 (누적 220)
[05:47:45] 11710101 offset=220 → 20개 (누적 240)
[05:47:47] 11710101 offset=240 → 20개 (누적 260)
[05:47:48] 11710101 offset=260 → 20개 (누적 280)
[05:47:50] 11710101 offset=280 → 20개 (누적 300)
[05:47:51] 11710101 offset=300 → 20개 (누적 320)
[05:47:53] 11710101 offset=320 → 20개 (누적 340)
[05:47:54] 11710101 offset=340 → 20개 (누적 360)
[05:47:56] 11710101 offset=360 → 20개 (누적 380)
[05:47:57] 11710101 offset=380 → 20개 (누적 400)
[05:47:58] 11710101 offset=400 → 20개 (누적 420)
[05:48:00] 11710101 offset=420 → 20개 (누적 440)
[05:48:02] 11710101 offset=440 → 20개 (누적 460)
[05:48:03] 11710101 offset=460 → 20개 (누적 480)
[05:48:04] 11710101 offset=480 → 20개 (누적 500)
[05:48:06] 11710101 offset=500 → 20개 (누적 520)
[05:48:07] 11710101 offset=520 → 20개 (누적 540)
[05:48:09] 11710101 offset=540 → 20개 (누적 560)
[05:48:10] 11710101 offset=560 → 20개 (누적 580)
[05:48:12] 11710101 offset=580 → 20개 (누적 600)
[05:48:13] 11710101 offset=600 → 20개 (누적 620)
[05:48:15] 11710101 offset=620 → 20개 (누적 640)
[05:48:16] 
📍 11710102 수집 시작
[05:48:16] 11710102 전체 매물: 693
[05:48:16] 11710102 offset=0 → 20개 (누적 20)
