[06:22:15] ==== 송파구 매물 수집 시작 ====
[06:22:15] 
📍 11710101 수집 시작
[06:22:16] 11710101 전체 매물: 621
[06:22:16] 11710101 offset=0 → 20개 (누적 20)
[06:22:17] 11710101 offset=20 → 20개 (누적 40)
[06:22:19] 11710101 offset=40 → 20개 (누적 60)
[06:22:20] 11710101 offset=60 → 20개 (누적 80)
[06:22:21] 11710101 offset=80 → 20개 (누적 100)
[06:22:23] 11710101 offset=100 → 20개 (누적 120)
[06:22:24] 11710101 offset=120 → 20개 (누적 140)
[06:22:26] 11710101 offset=140 → 20개 (누적 160)
[06:22:28] 11710101 offset=160 → 20개 (누적 180)
[06:22:29] 11710101 offset=180 → 20개 (누적 200)
[06:22:30] 11710101 offset=200 → 20개 (누적 220)
[06:22:32] 11710101 offset=220 → 20개 (누적 240)
[06:22:34] 11710101 offset=240 → 20개 (누적 260)
[06:22:35] 11710101 offset=260 → 20개 (누적 280)
[06:22:37] 11710101 offset=280 → 20개 (누적 300)
[06:22:38] 11710101 offset=300 → 20개 (누적 320)
[06:22:40] 11710101 offset=320 → 20개 (누적 340)
[06:22:41] 11710101 offset=340 → 20개 (누적 360)
[06:22:43] 11710101 offset=360 → 20개 (누적 380)
[06:22:44] 11710101 offset=380 → 20개 (누적 400)
[06:22:45] 11710101 offset=400 → 20개 (누적 420)
[06:22:47] 11710101 offset=420 → 20개 (누적 440)
[06:22:49] 11710101 offset=440 → 20개 (누적 460)
[06:22:50] 11710101 offset=460 → 20개 (누적 480)
[06:22:51] 11710101 offset=480 → 20개 (누적 500)
[06:22:53] 11710101 offset=500 → 20개 (누적 520)
[06:22:54] 11710101 offset=520 → 20개 (누적 540)
[06:22:56] 11710101 offset=540 → 20개 (누적 560)
[06:22:57] 11710101 offset=560 → 20개 (누적 580)
[06:22:59] 11710101 offset=580 → 20개 (누적 600)
[06:23:00] 11710101 offset=600 → 20개 (누적 620)
[06:23:02] 11710101 offset=620 → 1개 (누적 621)
[06:23:02] 
📍 11710102 수집 시작
[06:23:02] 11710102 전체 매물: 673
[06:23:02] 11710102 offset=0 → 20개 (누적 20)
[06:23:03] 11710102 offset=20 → 20개 (누적 40)
[06:23:05] 11710102 offset=40 → 20개 (누적 60)
[06:23:06] 11710102 offset=60 → 20개 (누적 80)
[06:23:08] 11710102 offset=80 → 20개 (누적 100)
[06:23:09] 11710102 offset=100 → 20개 (누적 120)
[06:23:11] 11710102 offset=120 → 20개 (누적 140)
[06:23:12] 11710102 offset=140 → 20개 (누적 160)
[06:23:14] 11710102 offset=160 → 20개 (누적 180)
[06:23:15] 11710102 offset=180 → 20개 (누적 200)
[06:23:16] 11710102 offset=200 → 20개 (누적 220)
[06:23:18] 11710102 offset=220 → 20개 (누적 240)
[06:23:20] 11710102 offset=240 → 20개 (누적 260)
[06:23:21] 11710102 offset=260 → 20개 (누적 280)
[06:23:22] 11710102 offset=280 → 20개 (누적 300)
[06:23:24] 11710102 offset=300 → 20개 (누적 320)
[06:23:25] 11710102 offset=320 → 20개 (누적 340)
[06:23:26] 11710102 offset=340 → 20개 (누적 360)
[06:23:28] 11710102 offset=360 → 20개 (누적 380)
[06:23:29] 11710102 offset=380 → 20개 (누적 400)
[06:23:31] 11710102 offset=400 → 20개 (누적 420)
[06:23:32] 11710102 offset=420 → 20개 (누적 440)
[06:23:34] 11710102 offset=440 → 20개 (누적 460)
[06:23:35] 11710102 offset=460 → 20개 (누적 480)
[06:23:37] 11710102 offset=480 → 20개 (누적 500)
[06:23:38] 11710102 offset=500 → 20개 (누적 520)
[06:23:40] 11710102 offset=520 → 20개 (누적 540)
[06:23:41] 11710102 offset=540 → 20개 (누적 560)
[06:23:43] 11710102 offset=560 → 20개 (누적 580)
[06:23:44] 11710102 offset=580 → 20개 (누적 600)
[06:23:45] 11710102 offset=600 → 20개 (누적 620)
[06:23:46] 11710102 offset=620 → 20개 (누적 640)
[06:23:48] 11710102 offset=640 → 20개 (누적 660)
[06:23:49] 11710102 offset=660 → 13개 (누적 673)
[06:23:49] 
📍 11710103 수집 시작
[06:23:50] 11710103 전체 매물: 623
[06:23:50] 11710103 offset=0 → 20개 (누적 20)
[06:23:51] 11710103 offset=20 → 20개 (누적 40)
[06:23:53] 11710103 offset=40 → 20개 (누적 60)
[06:23:54] 11710103 offset=60 → 20개 (누적 80)
[06:23:55] 11710103 offset=80 → 20개 (누적 100)
[06:23:56] 11710103 offset=100 → 20개 (누적 120)
[06:23:58] 11710103 offset=120 → 20개 (누적 140)
[06:23:59] 11710103 offset=140 → 20개 (누적 160)
[06:24:01] 11710103 offset=160 → 20개 (누적 180)
[06:24:02] 11710103 offset=180 → 20개 (누적 200)
[06:24:04] 11710103 offset=200 → 20개 (누적 220)
[06:24:05] 11710103 offset=220 → 20개 (누적 240)
[06:24:07] 11710103 offset=240 → 20개 (누적 260)
[06:24:08] 11710103 offset=260 → 20개 (누적 280)
[06:24:10] 11710103 offset=280 → 20개 (누적 300)
[06:24:11] 11710103 offset=300 → 20개 (누적 320)
[06:24:13] 11710103 offset=320 → 20개 (누적 340)
[06:24:14] 11710103 offset=340 → 20개 (누적 360)
[06:24:15] 11710103 offset=360 → 20개 (누적 380)
[06:24:17] 11710103 offset=380 → 20개 (누적 400)
