[05:48:03] ==== 송파구 매물 수집 시작 ====
[05:50:40] 11710104 offset=40 → 20개 (누적 60)
[05:50:41] 11710104 offset=60 → 20개 (누적 80)
[05:50:43] 11710104 offset=80 → 20개 (누적 100)
[05:50:44] 11710104 offset=100 → 20개 (누적 120)
[05:50:46] 11710104 offset=120 → 20개 (누적 140)
[05:50:48] 11710104 offset=140 → 20개 (누적 160)
[05:50:49] 11710104 offset=160 → 20개 (누적 180)
[05:50:51] 11710104 offset=180 → 20개 (누적 200)
[05:50:52] 11710104 offset=200 → 20개 (누적 220)
[05:50:54] 11710104 offset=220 → 20개 (누적 240)
[05:50:56] 11710104 offset=240 → 20개 (누적 260)
[05:50:57] 11710104 offset=260 → 20개 (누적 280)
[05:50:58] 11710104 offset=280 → 20개 (누적 300)
[05:51:00] 11710104 offset=300 → 20개 (누적 320)
[05:51:02] 11710104 offset=320 → 20개 (누적 340)
[05:51:03] 11710104 offset=340 → 20개 (누적 360)
[05:51:05] 11710104 offset=360 → 20개 (누적 380)
[05:51:06] 11710104 offset=380 → 20개 (누적 400)
[05:51:07] 11710104 offset=400 → 20개 (누적 420)
[05:51:09] 11710104 offset=420 → 20개 (누적 440)
[05:51:11] 11710104 offset=440 → 20개 (누적 460)
[05:51:12] 11710104 offset=460 → 20개 (누적 480)
[05:51:13] 11710104 offset=480 → 20개 (누적 500)
[05:51:15] 11710104 offset=500 → 20개 (누적 520)
[05:51:16] 11710104 offset=520 → 20개 (누적 540)
[05:51:18] 11710104 offset=540 → 20개 (누적 560)
[05:51:19] 11710104 offset=560 → 20개 (누적 580)
[05:51:21] 11710104 offset=580 → 20개 (누적 600)
[05:51:22] 11710104 offset=600 → 20개 (누적 620)
[05:51:23] 11710104 offset=620 → 20개 (누적 640)
[05:51:25] 11710104 offset=640 → 20개 (누적 660)
[05:51:27] 11710104 offset=660 → 20개 (누적 680)
[05:51:28] 11710104 offset=680 → 20개 (누적 700)
[05:51:30] 11710104 offset=700 → 20개 (누적 720)
[05:51:31] 11710104 offset=720 → 20개 (누적 740)
[05:51:33] 11710104 offset=740 → 20개 (누적 760)
[05:51:34] 11710104 offset=760 → 20개 (누적 780)
[05:51:36] 11710104 offset=780 → 20개 (누적 800)
[05:51:37] 11710104 offset=800 → 20개 (누적 820)
[05:51:39] 11710104 offset=820 → 20개 (누적 840)
[05:51:41] 11710104 offset=840 → 7개 (누적 847)
[05:51:41] 
📍 11710105 수집 시작
[05:51:41] 11710105 전체 매물: 724
[05:51:41] 11710105 offset=0 → 20개 (누적 20)
[05:51:43] 11710105 offset=20 → 20개 (누적 40)
[05:51:44] 11710105 offset=40 → 20개 (누적 60)
[05:51:46] 11710105 offset=60 → 20개 (누적 80)
[05:51:47] 11710105 offset=80 → 20개 (누적 100)
[05:51:49] 11710105 offset=100 → 20개 (누적 120)
[05:51:51] 11710105 offset=120 → 20개 (누적 140)
[05:51:52] 11710105 offset=140 → 20개 (누적 160)
[05:51:54] 11710105 offset=160 → 20개 (누적 180)
