[07:12:21] ==== 송파구 매물 수집 시작 ====
[07:12:21] 
📍 11710101 수집 시작
[07:12:22] 11710101 전체 매물: 631
[07:12:22] 11710101 offset=0 → 20개 (누적 20)
[07:12:24] 11710101 offset=20 → 20개 (누적 40)
[07:12:26] 11710101 offset=40 → 20개 (누적 60)
[07:12:27] 11710101 offset=60 → 20개 (누적 80)
[07:12:29] 11710101 offset=80 → 20개 (누적 100)
[07:12:30] 11710101 offset=100 → 20개 (누적 120)
[07:12:32] 11710101 offset=120 → 20개 (누적 140)
[07:12:33] 11710101 offset=140 → 20개 (누적 160)
[07:12:35] 11710101 offset=160 → 20개 (누적 180)
[07:12:37] 11710101 offset=180 → 20개 (누적 200)
[07:12:38] 11710101 offset=200 → 20개 (누적 220)
[07:12:40] 11710101 offset=220 → 20개 (누적 240)
[07:12:41] 11710101 offset=240 → 20개 (누적 260)
[07:12:42] 11710101 offset=260 → 20개 (누적 280)
[07:12:44] 11710101 offset=280 → 20개 (누적 300)
[07:12:46] 11710101 offset=300 → 20개 (누적 320)
[07:12:47] 11710101 offset=320 → 20개 (누적 340)
[07:12:48] 11710101 offset=340 → 20개 (누적 360)
[07:12:50] 11710101 offset=360 → 20개 (누적 380)
[07:12:51] 11710101 offset=380 → 20개 (누적 400)
[07:12:53] 11710101 offset=400 → 20개 (누적 420)
[07:12:55] 11710101 offset=420 → 20개 (누적 440)
[07:12:56] 11710101 offset=440 → 20개 (누적 460)
[07:12:58] 11710101 offset=460 → 20개 (누적 480)
[07:13:00] 11710101 offset=480 → 20개 (누적 500)
[07:13:01] 11710101 offset=500 → 20개 (누적 520)
[07:13:03] 11710101 offset=520 → 20개 (누적 540)
[07:13:05] 11710101 offset=540 → 20개 (누적 560)
[07:13:06] 11710101 offset=560 → 20개 (누적 580)
[07:13:08] 11710101 offset=580 → 20개 (누적 600)
[07:13:09] 11710101 offset=600 → 20개 (누적 620)
[07:13:11] 11710101 offset=620 → 11개 (누적 631)
[07:13:11] 
📍 11710102 수집 시작
[07:13:11] 11710102 전체 매물: 683
[07:13:11] 11710102 offset=0 → 20개 (누적 20)
[07:13:12] 11710102 offset=20 → 20개 (누적 40)
[07:13:14] 11710102 offset=40 → 20개 (누적 60)
[07:13:15] 11710102 offset=60 → 20개 (누적 80)
[07:13:17] 11710102 offset=80 → 20개 (누적 100)
[07:13:18] 11710102 offset=100 → 20개 (누적 120)
[07:13:20] 11710102 offset=120 → 20개 (누적 140)
[07:13:21] 11710102 offset=140 → 20개 (누적 160)
[07:13:23] 11710102 offset=160 → 20개 (누적 180)
[07:13:24] 11710102 offset=180 → 20개 (누적 200)
[07:13:26] 11710102 offset=200 → 20개 (누적 220)
[07:13:27] 11710102 offset=220 → 20개 (누적 240)
[07:13:28] 11710102 offset=240 → 20개 (누적 260)
[07:13:30] 11710102 offset=260 → 20개 (누적 280)
[07:13:31] 11710102 offset=280 → 20개 (누적 300)
[07:13:33] 11710102 offset=300 → 20개 (누적 320)
[07:13:34] 11710102 offset=320 → 20개 (누적 340)
[07:13:35] 11710102 offset=340 → 20개 (누적 360)
[07:13:37] 11710102 offset=360 → 20개 (누적 380)
[07:13:38] 11710102 offset=380 → 20개 (누적 400)
[07:13:40] 11710102 offset=400 → 20개 (누적 420)
[07:13:41] 11710102 offset=420 → 20개 (누적 440)
[07:13:43] 11710102 offset=440 → 20개 (누적 460)
[07:13:44] 11710102 offset=460 → 20개 (누적 480)
[07:13:45] 11710102 offset=480 → 20개 (누적 500)
[07:13:47] 11710102 offset=500 → 20개 (누적 520)
[07:13:48] 11710102 offset=520 → 20개 (누적 540)
[07:13:50] 11710102 offset=540 → 20개 (누적 560)
[07:13:51] 11710102 offset=560 → 20개 (누적 580)
