[06:34:48] ==== 송파구 매물 수집 시작 ====
[06:34:48] 
📍 11710101 수집 시작
[06:34:48] 11710101 전체 매물: 706
[06:34:48] 11710101 offset=0 → 20개 (누적 20)
[06:34:50] 11710101 offset=20 → 20개 (누적 40)
[06:34:51] 11710101 offset=40 → 20개 (누적 60)
[06:34:53] 11710101 offset=60 → 20개 (누적 80)
[06:34:54] 11710101 offset=80 → 20개 (누적 100)
[06:34:56] 11710101 offset=100 → 20개 (누적 120)
[06:34:57] 11710101 offset=120 → 20개 (누적 140)
[06:34:59] 11710101 offset=140 → 20개 (누적 160)
[06:35:00] 11710101 offset=160 → 20개 (누적 180)
[06:35:02] 11710101 offset=180 → 20개 (누적 200)
[06:35:03] 11710101 offset=200 → 20개 (누적 220)
[06:35:05] 11710101 offset=220 → 20개 (누적 240)
[06:35:06] 11710101 offset=240 → 20개 (누적 260)
[06:35:07] 11710101 offset=260 → 20개 (누적 280)
[06:35:09] 11710101 offset=280 → 20개 (누적 300)
[06:35:10] 11710101 offset=300 → 20개 (누적 320)
[06:35:12] 11710101 offset=320 → 20개 (누적 340)
[06:35:13] 11710101 offset=340 → 20개 (누적 360)
[06:35:15] 11710101 offset=360 → 20개 (누적 380)
[06:35:16] 11710101 offset=380 → 20개 (누적 400)
[06:35:18] 11710101 offset=400 → 20개 (누적 420)
[06:35:19] 11710101 offset=420 → 20개 (누적 440)
[06:35:21] 11710101 offset=440 → 20개 (누적 460)
[06:35:22] 11710101 offset=460 → 20개 (누적 480)
[06:35:24] 11710101 offset=480 → 20개 (누적 500)
[06:35:25] 11710101 offset=500 → 20개 (누적 520)
[06:35:27] 11710101 offset=520 → 20개 (누적 540)
[06:35:28] 11710101 offset=540 → 20개 (누적 560)
[06:35:29] 11710101 offset=560 → 20개 (누적 580)
[06:35:31] 11710101 offset=580 → 20개 (누적 600)
[06:35:33] 11710101 offset=600 → 20개 (누적 620)
[06:35:34] 11710101 offset=620 → 20개 (누적 640)
[06:35:36] 11710101 offset=640 → 20개 (누적 660)
[06:35:37] 11710101 offset=660 → 20개 (누적 680)
[06:35:39] 11710101 offset=680 → 20개 (누적 700)
[06:35:40] 11710101 offset=700 → 6개 (누적 706)
[06:35:40] 
📍 11710102 수집 시작
[06:35:40] 11710102 전체 매물: 766
[06:35:40] 11710102 offset=0 → 20개 (누적 20)
[06:35:42] 11710102 offset=20 → 20개 (누적 40)
[06:35:43] 11710102 offset=40 → 20개 (누적 60)
[06:35:45] 11710102 offset=60 → 20개 (누적 80)
[06:35:46] 11710102 offset=80 → 20개 (누적 100)
[06:35:48] 11710102 offset=100 → 20개 (누적 120)
[06:35:50] 11710102 offset=120 → 20개 (누적 140)
[06:35:51] 11710102 offset=140 → 20개 (누적 160)
[06:35:53] 11710102 offset=160 → 20개 (누적 180)
[06:35:54] 11710102 offset=180 → 20개 (누적 200)
[06:35:56] 11710102 offset=200 → 20개 (누적 220)
[06:35:57] 11710102 offset=220 → 20개 (누적 240)
[06:35:59] 11710102 offset=240 → 20개 (누적 260)
[06:36:00] 11710102 offset=260 → 20개 (누적 280)
[06:36:02] 11710102 offset=280 → 20개 (누적 300)
