[05:43:44] ==== 송파구 매물 수집 시작 ====
[05:45:27] 11710103 offset=60 → 20개 (누적 80)
[05:45:28] 11710103 offset=80 → 20개 (누적 100)
[05:45:30] 11710103 offset=100 → 20개 (누적 120)
[05:45:31] 11710103 offset=120 → 20개 (누적 140)
[05:45:33] 11710103 offset=140 → 20개 (누적 160)
[05:45:34] 11710103 offset=160 → 20개 (누적 180)
[05:45:36] 11710103 offset=180 → 20개 (누적 200)
[05:45:38] 11710103 offset=200 → 20개 (누적 220)
[05:45:39] 11710103 offset=220 → 20개 (누적 240)
[05:45:41] 11710103 offset=240 → 20개 (누적 260)
[05:45:42] 11710103 offset=260 → 20개 (누적 280)
[05:45:43] 11710103 offset=280 → 20개 (누적 300)
[05:45:45] 11710103 offset=300 → 20개 (누적 320)
[05:45:47] 11710103 offset=320 → 20개 (누적 340)
[05:45:48] 11710103 offset=340 → 20개 (누적 360)
[05:45:50] 11710103 offset=360 → 20개 (누적 380)
[05:45:51] 11710103 offset=380 → 20개 (누적 400)
[05:45:53] 11710103 offset=400 → 20개 (누적 420)
[05:45:54] 11710103 offset=420 → 20개 (누적 440)
[05:45:56] 11710103 offset=440 → 20개 (누적 460)
[05:45:57] 11710103 offset=460 → 20개 (누적 480)
[05:45:58] 11710103 offset=480 → 20개 (누적 500)
[05:46:00] 11710103 offset=500 → 20개 (누적 520)
[05:46:02] 11710103 offset=520 → 20개 (누적 540)
[05:46:04] 11710103 offset=540 → 20개 (누적 560)
[05:46:05] 11710103 offset=560 → 20개 (누적 580)
[05:46:07] 11710103 offset=580 → 17개 (누적 597)
[05:46:07] 
📍 11710104 수집 시작
[05:46:07] 11710104 전체 매물: 820
[05:46:07] 11710104 offset=0 → 20개 (누적 20)
[05:46:08] 11710104 offset=20 → 20개 (누적 40)
[05:46:10] 11710104 offset=40 → 20개 (누적 60)
[05:46:12] 11710104 offset=60 → 20개 (누적 80)
[05:46:13] 11710104 offset=80 → 20개 (누적 100)
[05:46:15] 11710104 offset=100 → 20개 (누적 120)
[05:46:16] 11710104 offset=120 → 20개 (누적 140)
[05:46:18] 11710104 offset=140 → 20개 (누적 160)
[05:46:19] 11710104 offset=160 → 20개 (누적 180)
[05:46:21] 11710104 offset=180 → 20개 (누적 200)
[05:46:22] 11710104 offset=200 → 20개 (누적 220)
[05:46:24] 11710104 offset=220 → 20개 (누적 240)
[05:46:25] 11710104 offset=240 → 20개 (누적 260)
[05:46:26] 11710104 offset=260 → 20개 (누적 280)
[05:46:28] 11710104 offset=280 → 20개 (누적 300)
[05:46:30] 11710104 offset=300 → 20개 (누적 320)
[05:46:32] 11710104 offset=320 → 20개 (누적 340)
[05:46:33] 11710104 offset=340 → 20개 (누적 360)
[05:46:35] 11710104 offset=360 → 20개 (누적 380)
[05:46:36] 11710104 offset=380 → 20개 (누적 400)
[05:46:38] 11710104 offset=400 → 20개 (누적 420)
[05:46:40] 11710104 offset=420 → 20개 (누적 440)
[05:46:41] 11710104 offset=440 → 20개 (누적 460)
[05:46:42] 11710104 offset=460 → 20개 (누적 480)
[05:46:44] 11710104 offset=480 → 20개 (누적 500)
[05:46:46] 11710104 offset=500 → 20개 (누적 520)
[05:46:47] 11710104 offset=520 → 20개 (누적 540)
[05:46:48] 11710104 offset=540 → 20개 (누적 560)
[05:46:50] 11710104 offset=560 → 20개 (누적 580)
[05:46:52] 11710104 offset=580 → 20개 (누적 600)
[05:46:53] 11710104 offset=600 → 20개 (누적 620)
[05:46:55] 11710104 offset=620 → 20개 (누적 640)
[05:46:56] 11710104 offset=640 → 20개 (누적 660)
[05:46:57] 11710104 offset=660 → 20개 (누적 680)
[05:46:59] 11710104 offset=680 → 20개 (누적 700)
[05:47:01] 11710104 offset=700 → 20개 (누적 720)
[05:47:02] 11710104 offset=720 → 20개 (누적 740)
[05:47:04] 11710104 offset=740 → 20개 (누적 760)
[05:47:05] 11710104 offset=760 → 20개 (누적 780)
[05:47:07] 11710104 offset=780 → 20개 (누적 800)
[05:47:08] 11710104 offset=800 → 20개 (누적 820)
[05:47:10] 
📍 11710105 수집 시작
[05:47:10] 11710105 전체 매물: 699
[05:47:10] 11710105 offset=0 → 20개 (누적 20)
[05:47:12] 11710105 offset=20 → 20개 (누적 40)
[05:47:14] 11710105 offset=40 → 20개 (누적 60)
[05:47:15] 11710105 offset=60 → 20개 (누적 80)
[05:47:17] 11710105 offset=80 → 20개 (누적 100)
[05:47:18] 11710105 offset=100 → 20개 (누적 120)
[05:47:20] 11710105 offset=120 → 20개 (누적 140)
[05:47:21] 11710105 offset=140 → 20개 (누적 160)
[05:47:23] 11710105 offset=160 → 20개 (누적 180)
[05:47:24] 11710105 offset=180 → 20개 (누적 200)
[05:47:26] 11710105 offset=200 → 20개 (누적 220)
[05:47:27] 11710105 offset=220 → 20개 (누적 240)
[05:47:29] 11710105 offset=240 → 20개 (누적 260)
[05:47:30] 11710105 offset=260 → 20개 (누적 280)
[05:47:32] 11710105 offset=280 → 20개 (누적 300)
[05:47:34] 11710105 offset=300 → 20개 (누적 320)
[05:47:35] 11710105 offset=320 → 20개 (누적 340)
[05:47:36] 11710105 offset=340 → 20개 (누적 360)
[05:47:38] 11710105 offset=360 → 20개 (누적 380)
[05:47:39] 11710105 offset=380 → 20개 (누적 400)
[05:47:41] 11710105 offset=400 → 20개 (누적 420)
[05:47:43] 11710105 offset=420 → 20개 (누적 440)
[05:47:45] 11710105 offset=440 → 20개 (누적 460)
[05:47:46] 11710105 offset=460 → 20개 (누적 480)
[05:47:48] 11710105 offset=480 → 20개 (누적 500)
[05:47:49] 11710105 offset=500 → 20개 (누적 520)
[05:47:51] 11710105 offset=520 → 20개 (누적 540)
[05:47:52] 11710105 offset=540 → 20개 (누적 560)
[05:47:54] 11710105 offset=560 → 20개 (누적 580)
[05:47:55] 11710105 offset=580 → 20개 (누적 600)
[05:47:57] 11710105 offset=600 → 20개 (누적 620)
[05:47:58] 11710105 offset=620 → 20개 (누적 640)
[05:48:00] 11710105 offset=640 → 20개 (누적 660)
[05:48:01] 11710105 offset=660 → 20개 (누적 680)
[05:48:02] 11710105 offset=680 → 19개 (누적 699)
[05:48:02] 
📍 11710106 수집 시작
[05:48:03] 11710106 전체 매물: 135
[05:48:03] 11710106 offset=0 → 20개 (누적 20)
[05:48:05] 11710106 offset=20 → 20개 (누적 40)
[05:48:06] 11710106 offset=40 → 20개 (누적 60)
[05:48:08] 11710106 offset=60 → 20개 (누적 80)
[05:48:09] 11710106 offset=80 → 20개 (누적 100)
[05:48:11] 11710106 offset=100 → 20개 (누적 120)
[05:48:13] 11710106 offset=120 → 15개 (누적 135)
[05:48:13] 
📍 11710107 수집 시작
[05:48:13] 11710107 전체 매물: 330
[05:48:13] 11710107 offset=0 → 20개 (누적 20)
[05:48:15] 11710107 offset=20 → 20개 (누적 40)
[05:48:16] 11710107 offset=40 → 20개 (누적 60)
[05:48:18] 11710107 offset=60 → 20개 (누적 80)
[05:48:19] 11710107 offset=80 → 20개 (누적 100)
[05:48:21] 11710107 offset=100 → 20개 (누적 120)
[05:48:22] 11710107 offset=120 → 20개 (누적 140)
[05:48:24] 11710107 offset=140 → 20개 (누적 160)
[05:48:26] 11710107 offset=160 → 20개 (누적 180)
[05:48:27] 11710107 offset=180 → 20개 (누적 200)
[05:48:28] 11710107 offset=200 → 20개 (누적 220)
[05:48:30] 11710107 offset=220 → 20개 (누적 240)
[05:48:32] 11710107 offset=240 → 20개 (누적 260)
[05:48:33] 11710107 offset=260 → 20개 (누적 280)
[05:48:35] 11710107 offset=280 → 20개 (누적 300)
[05:48:36] 11710107 offset=300 → 20개 (누적 320)
[05:48:38] 11710107 offset=320 → 10개 (누적 330)
[05:48:38] 
📍 11710108 수집 시작
[05:48:39] 11710108 전체 매물: 277
[05:48:39] 11710108 offset=0 → 20개 (누적 20)
[05:48:40] 11710108 offset=20 → 20개 (누적 40)
[05:48:41] 11710108 offset=40 → 20개 (누적 60)
[05:48:43] 11710108 offset=60 → 20개 (누적 80)
[05:48:44] 11710108 offset=80 → 20개 (누적 100)
[05:48:46] 11710108 offset=100 → 20개 (누적 120)
[05:48:47] 11710108 offset=120 → 20개 (누적 140)
[05:48:49] 11710108 offset=140 → 20개 (누적 160)
[05:48:51] 11710108 offset=160 → 20개 (누적 180)
[05:48:52] 11710108 offset=180 → 20개 (누적 200)
[05:48:53] 11710108 offset=200 → 20개 (누적 220)
[05:48:55] 11710108 offset=220 → 20개 (누적 240)
[05:48:56] 11710108 offset=240 → 20개 (누적 260)
[05:48:58] 11710108 offset=260 → 17개 (누적 277)
[05:48:58] 
📍 11710109 수집 시작
[05:48:59] 11710109 전체 매물: 178
[05:48:59] 11710109 offset=0 → 20개 (누적 20)
[05:49:00] 11710109 offset=20 → 20개 (누적 40)
[05:49:02] 11710109 offset=40 → 20개 (누적 60)
[05:49:04] 11710109 offset=60 → 20개 (누적 80)
[05:49:05] 11710109 offset=80 → 20개 (누적 100)
[05:49:07] 11710109 offset=100 → 20개 (누적 120)
[05:49:08] 11710109 offset=120 → 20개 (누적 140)
[05:49:10] 11710109 offset=140 → 20개 (누적 160)
[05:49:11] 11710109 offset=160 → 18개 (누적 178)
[05:49:11] 
📍 11710110 수집 시작
[05:49:12] 11710110 전체 매물: 0
[05:49:12] 
📍 11710111 수집 시작
[05:49:12] 11710111 전체 매물: 791
[05:49:12] 11710111 offset=0 → 20개 (누적 20)
[05:49:14] 11710111 offset=20 → 20개 (누적 40)
[05:49:15] 11710111 offset=40 → 20개 (누적 60)
[05:49:17] 11710111 offset=60 → 20개 (누적 80)
[05:49:18] 11710111 offset=80 → 20개 (누적 100)
[05:49:20] 11710111 offset=100 → 20개 (누적 120)
[05:49:22] 11710111 offset=120 → 20개 (누적 140)
[05:49:23] 11710111 offset=140 → 20개 (누적 160)
[05:49:25] 11710111 offset=160 → 20개 (누적 180)
[05:49:26] 11710111 offset=180 → 20개 (누적 200)
[05:49:28] 11710111 offset=200 → 20개 (누적 220)
[05:49:30] 11710111 offset=220 → 20개 (누적 240)
[05:49:31] 11710111 offset=240 → 20개 (누적 260)
[05:49:33] 11710111 offset=260 → 20개 (누적 280)
[05:49:35] 11710111 offset=280 → 20개 (누적 300)
[05:49:36] 11710111 offset=300 → 20개 (누적 320)
[05:49:38] 11710111 offset=320 → 20개 (누적 340)
[05:49:40] 11710111 offset=340 → 20개 (누적 360)
[05:49:41] 11710111 offset=360 → 20개 (누적 380)
[05:49:43] 11710111 offset=380 → 20개 (누적 400)
[05:49:45] 11710111 offset=400 → 20개 (누적 420)
[05:49:46] 11710111 offset=420 → 20개 (누적 440)
[05:49:48] 11710111 offset=440 → 20개 (누적 460)
[05:49:50] 11710111 offset=460 → 20개 (누적 480)
[05:49:51] 11710111 offset=480 → 20개 (누적 500)
[05:49:53] 11710111 offset=500 → 20개 (누적 520)
[05:49:54] 11710111 offset=520 → 20개 (누적 540)
[05:49:56] 11710111 offset=540 → 20개 (누적 560)
[05:49:57] 11710111 offset=560 → 20개 (누적 580)
[05:49:59] 11710111 offset=580 → 20개 (누적 600)
[05:50:01] 11710111 offset=600 → 20개 (누적 620)
[05:50:02] 11710111 offset=620 → 20개 (누적 640)
[05:50:04] 11710111 offset=640 → 20개 (누적 660)
[05:50:05] 11710111 offset=660 → 20개 (누적 680)
[05:50:07] 11710111 offset=680 → 20개 (누적 700)
[05:50:08] 11710111 offset=700 → 20개 (누적 720)
[05:50:10] 11710111 offset=720 → 20개 (누적 740)
[05:50:12] 11710111 offset=740 → 20개 (누적 760)
[05:50:13] 11710111 offset=760 → 20개 (누적 780)
[05:50:14] 11710111 offset=780 → 11개 (누적 791)
[05:50:14] 
📍 11710112 수집 시작
[05:50:15] 11710112 전체 매물: 271
[05:50:15] 11710112 offset=0 → 20개 (누적 20)
[05:50:16] 11710112 offset=20 → 20개 (누적 40)
[05:50:18] 11710112 offset=40 → 20개 (누적 60)
[05:50:19] 11710112 offset=60 → 20개 (누적 80)
[05:50:21] 11710112 offset=80 → 20개 (누적 100)
[05:50:22] 11710112 offset=100 → 20개 (누적 120)
[05:50:24] 11710112 offset=120 → 20개 (누적 140)
[05:50:25] 11710112 offset=140 → 20개 (누적 160)
[05:50:27] 11710112 offset=160 → 20개 (누적 180)
[05:50:28] 11710112 offset=180 → 20개 (누적 200)
[05:50:30] 11710112 offset=200 → 20개 (누적 220)
[05:50:31] 11710112 offset=220 → 20개 (누적 240)
[05:50:32] 11710112 offset=240 → 20개 (누적 260)
[05:50:34] 11710112 offset=260 → 11개 (누적 271)
[05:50:34] 
📍 11710113 수집 시작
[05:50:34] 11710113 전체 매물: 361
[05:50:34] 11710113 offset=0 → 20개 (누적 20)
[05:50:36] 11710113 offset=20 → 20개 (누적 40)
[05:50:37] 11710113 offset=40 → 20개 (누적 60)
[05:50:39] 11710113 offset=60 → 20개 (누적 80)
[05:50:41] 11710113 offset=80 → 20개 (누적 100)
[05:50:43] 11710113 offset=100 → 20개 (누적 120)
[05:50:44] 11710113 offset=120 → 20개 (누적 140)
[05:50:46] 11710113 offset=140 → 20개 (누적 160)
[05:50:48] 11710113 offset=160 → 20개 (누적 180)
[05:50:49] 11710113 offset=180 → 20개 (누적 200)
[05:50:51] 11710113 offset=200 → 20개 (누적 220)
[05:50:52] 11710113 offset=220 → 20개 (누적 240)
[05:50:54] 11710113 offset=240 → 20개 (누적 260)
[05:50:56] 11710113 offset=260 → 20개 (누적 280)
[05:50:57] 11710113 offset=280 → 20개 (누적 300)
[05:50:59] 11710113 offset=300 → 20개 (누적 320)
[05:51:00] 11710113 offset=320 → 20개 (누적 340)
[05:51:02] 11710113 offset=340 → 20개 (누적 360)
[05:51:03] 11710113 offset=360 → 1개 (누적 361)
[05:51:03] 
총 수집: 5705 → 중복 제거: 1007
[05:51:03] 💾 저장 완료: data/zigbang_송파구_20260404_054344.csv
[05:51:03] ✅ 완료!
