[06:15:48] ==== 송파구 매물 수집 시작 ====
[06:15:48] 
📍 11710101 수집 시작
[06:15:48] 11710101 전체 매물: 638
[06:15:48] 11710101 offset=0 → 20개 (누적 20)
[06:15:50] 11710101 offset=20 → 20개 (누적 40)
[06:15:51] 11710101 offset=40 → 20개 (누적 60)
[06:15:53] 11710101 offset=60 → 20개 (누적 80)
[06:15:54] 11710101 offset=80 → 20개 (누적 100)
[06:15:56] 11710101 offset=100 → 20개 (누적 120)
[06:15:57] 11710101 offset=120 → 20개 (누적 140)
[06:15:59] 11710101 offset=140 → 20개 (누적 160)
[06:16:00] 11710101 offset=160 → 20개 (누적 180)
[06:16:02] 11710101 offset=180 → 20개 (누적 200)
[06:16:03] 11710101 offset=200 → 20개 (누적 220)
[06:16:05] 11710101 offset=220 → 20개 (누적 240)
[06:16:06] 11710101 offset=240 → 20개 (누적 260)
[06:16:08] 11710101 offset=260 → 20개 (누적 280)
[06:16:09] 11710101 offset=280 → 20개 (누적 300)
[06:16:10] 11710101 offset=300 → 20개 (누적 320)
[06:16:12] 11710101 offset=320 → 20개 (누적 340)
[06:16:13] 11710101 offset=340 → 20개 (누적 360)
[06:16:15] 11710101 offset=360 → 20개 (누적 380)
[06:16:16] 11710101 offset=380 → 20개 (누적 400)
[06:16:18] 11710101 offset=400 → 20개 (누적 420)
[06:16:19] 11710101 offset=420 → 20개 (누적 440)
[06:16:20] 11710101 offset=440 → 20개 (누적 460)
[06:16:22] 11710101 offset=460 → 20개 (누적 480)
[06:16:23] 11710101 offset=480 → 20개 (누적 500)
[06:16:25] 11710101 offset=500 → 20개 (누적 520)
[06:16:26] 11710101 offset=520 → 20개 (누적 540)
[06:16:28] 11710101 offset=540 → 20개 (누적 560)
[06:16:29] 11710101 offset=560 → 20개 (누적 580)
[06:16:31] 11710101 offset=580 → 20개 (누적 600)
[06:16:32] 11710101 offset=600 → 20개 (누적 620)
[06:16:34] 11710101 offset=620 → 18개 (누적 638)
[06:16:34] 
📍 11710102 수집 시작
[06:16:34] 11710102 전체 매물: 689
[06:16:34] 11710102 offset=0 → 20개 (누적 20)
[06:16:36] 11710102 offset=20 → 20개 (누적 40)
[06:16:37] 11710102 offset=40 → 20개 (누적 60)
